from,to,relation
dr,tpwiw,1
dr,famtwu,1
dr,ex,1
dr,db,1
dr,eq,1
dr,mbj,1
dr,ds22,6
dr,htsibwrt,1
dr,twib,1
dr,robc,6
dr,bg,1
dr,ydn,1
dr,kyd,1
dr,tfw,1
dr,hr,1
dr,tcoiUK,1
dr,tcoiUS,1
dr,ds25,6
dr,tw ,1
dr,bjh2,6
dr,tg,1
dr,vf,1
dr,nysm2,1
dr,ip,1
dr,sam,1
dr,lil,1
dr,jgle,1
dr,ragad,1
dr,bob,1
dr,tloaf,1
dr,pm,6
dr,bjh6,6
dr,mw1,1
dr,ga,1
dr,mw2,1
dr,efp,1
dr,uks,1
dr,eg,1
dr,mw3,1
dr,tlc,1
dr,pc,1
dr,wrd,1
dr,ram ,6
we,tpwiw,2
we,eq,2
we,tcoiUK,2
bbc,famtwu,2
bbc,ex,2
ffca,db,2
ef ,mbj,2
20thcs,ds22,2
20thcs,ds25,2
20thcs,vf,2
bw,htsibwrt,2
bw,tcoiUS,2
bw,mw1,2
bw,mw2,2
bw,mw3,2
hf,twib,2
sbs,robc,2
sc,bg,2
kf,kyd,2
cf,tfw,2
rgp,hr,2
ap,tw,2
rfp,tg,2
lge,nysm2,2
gegllc,ip,2
cip,sam,2
tf ,lil,2
mp,jgle,2
ovc,ragad,2
mp,bob,2
stxf,pm,2
pp,tlc,2
fod,wrd,2
ws ,ram ,2
tco,bjh2,2
tco,bjh6 ,2
btp,ydn,2
eb,famtwu,3
rg ,ex,3
rh,db,3
bk,mbj,3
ba,ds22,3
jw,twib,3
sg,robc,3
ln,bg,3
jk,kyd,3
md,tfw,3
aa,hr,3
ms,ds25,3
ja,tw ,3
rbw,bjh2,3
lp,tg,3
pmcg,vf,3
jmc,nysm2,3
drg,ip,3
dk,sam,3
wh,lil,3
gmcl,jgle,3
dl,ragad,3
jg,bob,3
lds,pm,3
rbw,bjh6,3
sr,mw1,3
sr,mw2,3
sr,mw3,3
jh,ga,3
fa ,efp,3
rc,uks,3
an,tlc,3
ea,wrd,3
dh ,ram ,3
