from,to,relation
go,nbdsb,1
go,hannibal,1
go,friends,1
go,ist,1
go,gtb,1
go,btd,1
go,tiptoes,1
go,moh,6
go,tcsola,6
go,sin,1
go,wk,1
go,batbeg,1
go,df,1
go,bwoods,1
go,legendnb,6
go,legenden,6
go,legendten,6
go,tdn,1
go,legenddotd,6
go,cod,6
go,gt,1
go,unborn,1
go,dngs,1
go,rf,1
go,fwvs,1
go,planet,6
go,boe,1
go,codbo,6
go,btc,1
go,rrh,1
go,kfp,6
go,ttss,1
go,lless,1
go,tdnr,1
go,gag,1
go,tnd,1
go,paranoia,1
go,lpm,6
go,rc,1
go,pdar,1
go,kind,1
go,md,1
go,ld,6
go,djp,1
go,dssn,1
go,kb,1
go,dds,1
go,thb,1
go,hk,1
go,tau,6
go,ka,1
go,ship,1
go,dg,1
go,tc,1
go,twitw,1
go,apatd,1
go,mank,1
go,crs,1
go,kbt,1
go,sh,1
nu,nbdsb,2
nu,djp,2
nu,kb,2
nu,thb,2
nu,hk,2
nu,kbt,2
mgm,hannibal,2
wbt,friends,2
sae,ist,2
thc,gtb,2
thc,pdar,2
romulus,btd,2
stca,tiptoes,2
stca,ttss,2
dw,moh,2
activision,tcsola,2
singpic,sin,2
wbp,batbeg,2
wbp,tdn,2
wbp,rrh,2
wbp,tdnr,2
fmax,bwoods,2
vug,legendnb,2
vug,legendten,2
vug,legenddotd,2
krome,legenden,2
infward,cod,2
infward,codbo,2
platinum,unborn,2
dogspony,rf,2
skydance,planet,2
alcon,boe,2
dwa,kfp,2
annapurna,lless,2
freefall,gag,2
cr,tnd,2
gre,paranoia,2
opc,rc,2
summit,kind,2
krannel,md,2
ttg,ld,2
huab,dssn,2
wtf,dds,2
kte,tau,2
posterity,ka,2
tte,ship,2
netflix,dg,2
netflix,twitw,2
netflix,mank,2
fne,tc,2
mjp,apatd,2
bp,crs,2
ssf,sh,2
ae,us,2
ds,nbdsb,3
rs,hannibal,3
jb,friends,3
bg,ist,3
cc,gtb,3
ts,btd,3
mb,tiptoes,3
ms,sin,3
ge,wk,3
cn,batbeg,3
cn,tdn,3
cn,gt,3
cn,tdnr,3
cs,df,3
ks,bwoods,3
dsg,unborn,3
ja,dngs,3
mm,rf,3
rz,fwvs,3
rz,btc,3
jbl,planet,3
ah,boe,3
ch,rrh,3
jyn,kfp,3
ta ,ttss,3
jh,lless,3
mw,gag,3
fs,tnd,3
rl,paranoia,3
ap,lpm,3
pv,rc,3
mr,pdar,3
de,kind,3
dm,md,3
av,djp,3
pc,dssn,3
ph,kb,3
ph,thb,3
ph,kbt,3
donm,hk,3
fda,tau,3
mo,ka,3
mg,ship,3
sso,dg,3
za,tc,3
jw,twitw,3
jl,apatd,3
dfin,mank,3
nj,crs,3
go,us,3
go,tpb,3
