id,name,year,type,Regie,age,Produktionsfirma,sector,genre,land
tpwiw,The Play What I Wrote,2001,2,Kenneth Branagh,39,Wyndhams Theatre,4,6,UK
sp,Spider,2002,2,David Cronenberg,40,Sony Pictures Classics,1,3,US
ddvmc,Der Dieb von Monte Carlo,2002,2,Neil Jordan,40,Fox,1,2,US
rd,Roter Drache,2002,2,Brett Ratner,40,Universal Pictures,1,4,US
mhls,Manhatten Love Story,2002,2,Kenneth Branagh,40,Columbia Pictures,1,6,US
ttc,The Talking Cure,2003,2,Howard Davies,41,Royal National Theatre,4,2,UK
brhi,Brand,2003,2,Adrian Noble,41,The Royal Shakespeare Company,4,2,UK
lk,Libertys Kids,2002,2,Judith Reilly,40,PBS,2,8,US
lktwo,Libertys Kids,2003,2,Judith Reilly,41,PBS,2,8,US
fahou,Freedom A History of US,2003,2,Philip Kunhardt III,41,PBS,2,7,US
tdtdd,Ten Days to DDay,2004,2,Marion Milne,42,AandEs History Channel,1,2,US
tcsgikd,The Chumscrubber Glueck in kleinen Dosen,2005,2,Arie Posin,43,Picturehouse,1,2,US
chro,Chromophobia,2005,2,Martha Fiennes,43,Momentum Pictures,1,2,CAN
deg,Der ewige Gaertner,2005,2,Fernando Meirelles,43,Focus Features,1,2,US
wagadj,Wallace und Gromit Auf der Jagd nach dem Riesenkaninchen,2005,2,Steve Box,43,DreamWorks,1,8,US
wagadjtwo,Wallace Gromit Auf der Jagd nach dem Riesenkaninchen,2005,2,Nick Park,43,DreamWorks,1,8,US
twc,The White Countess,2005,2,James Ivory,43,Sony Pictures Classics,1,2,US
hpatgof,Harry Potter and the Goblet of Fire,2005,2,Nuno Miranda,43,Electronic Arts,6,9,US
jcws,Julius Caesar,2005,2,Deborah Warner,43,Barbican Centre,4,2,UK
fhbf,Faith Healer,2006,2,Jonathan Kent,44,GateTheatre,4,2,UK
lotb,Land of the Blind,2006,2,Robert Edwards,44,Samuel Goldwyn Films,1,3,US
bad,Bernard and Doris,2006,2,Bob Balaban,44,HBO,1,6,US
flsb,First Love,2007,2,Michael Colgan,45,Sydney Festival,4,2,AUS
hpatootp,Harry Potter and the Order of the Phoenix,2007,2,Matt Birch,45,Electronic Arts,6,9,US
dgdg,Der Gott des Gemetzels,2008,2,Matthew Warchus,46,Gielgud Theatre,4,6,UK
koe,Koenig Oedipus,2008,2,Jonathan Kent,46,Royal National Theatre,4,2,UK
bsus,Bruegge sehen und sterben,2008,2,Martin McDonagh,46,Focus Features,1,6,US
dieh,Die Herzogin,2008,2,Saul Dibb,46,Paramount Pictures,1,3,US
tkthl,Toedliches Kommando The Hurt Locker,2008,2,Kathryn Bigelow,46,Summit Media,1,1,DE
dv,Der Vorleser,2008,2,Stephen Daldry,46,Weinstein Co,1,2,US
twd,The Wildest Dream,2010,2,Anthony Geffen,48,National Geographic,1,7,US
ezn,Eine zauberhafte Nanny Knall auf Fall in ein neues Abenteuer,2010,2,Susanna White,48,Universal Studios,1,6,US
kdt,Kampf der Titanen,2010,2,Louis Leterrier,48,Warner Bros,1,2,US
cj,Cemetery Junction Das Leben und andere Ereignisse,2010,2,Ricky Gervais,48,Sony Pictures,1,2,US
cjtwo,Cemetery Junction Das Leben und andere Ereignisse two,2010,2,Stephen Merchant,48,Sony Pictures,1,2,US
dsws,Der Sturm,2011,2,Trevor Nunn,49,Theatre Royal Haymarket,4,2,UK
cor,Coriolanus,2011,2,Ralph Fiennes,49,Weinstein Co,1,1,US
dvvahe,Die Verschwoerung Verrat auf hoechster Ebene,2011,2,David Hare,49,Koch Media GmbH,1,3,AUT
zdt,Zorn der Titanen,2012,2,Jonathan Liebesmann,50,Warner Bros,1,1,US
ge,Große Erwartungen,2012,2,Mike Newell,50,Fox,1,2,US
jbsky,James Bond 007 Skyfall,2012,2,Sam Mendes,50,Sony Pictures Entertainment,1,1,US
tiw,The Invisible Woman,2013,2,Ralph Fiennes,51,Sony Pictures Classics,1,2,UK
gbh,Grand Budapest Hotel,2014,2,Wes Anderson,52,Fox Searchlight,1,6,US
dvtg,Die Verschwörung Tödliche Geschäfte,2014,2,David Hare,52,Koch Media GmbH,1,3,AUT
dvgj,Die Verschwörung Gnadenlose Jagd,2014,2,David Hare,52,Koch Media GmbH,1,3,AUT
rev,Rev,2014,2,Peter Cattaneo,52,BBC America,2,6,US
mvd,Mesyats v derevne,2014,2,Vera Glagoleva,52,Warner Bros,1,2,US
masm,Man and Superman,2015,2,Simon Godwin,53,Royal National Theatre,4,2,UK
abs,A Bigger Splash,2015,2,Luca Guadagnino,53,Fox Searchlight,1,3,FR
jbspe,James Bond 007 Spectre,2015,2,Sam Mendes,53,Sony Pictures Entertainment,1,1,US
bshi,Baumeister Solness,2016,2,Matthew Warchus,54,Old Vic Theatre,4,2,UK
rthree,Richard III,2016,2,Rupert Goold,54,Almeida Theatre,4,2,UK
hc,Hail Caesar,2016,2,Ethan Coen,54,Universal Pictures,1,6,US
hctwo,Hail Caesar two,2016,2,Joel Coen,54,Universal Pictures,1,6,US
tw,The Works,2016,2,Elliot Barnes Worrell,54,Kickstarter,1,2,UK
kdts,Kubo Der tapfere Samurai,2016,2,Travis Knight,54,Focus Features,1,8,US
tlbm,The Lego Batman Movie,2017,2,Chris McKay,55,Warner Bros,1,8,US
seas,Sea Sorrow,2017,2,Vanessa Redgrave,55,Dissent Projects LTD,1,7,UK
auc,Antonius und Cleopatra,2018,2,Simon Godwin,56,Royal National Theatre,4,2,UK
ntwc,Nurejew The White Crow,2018,2,Ralph Fiennes,56,Sony Pictures Classics,1,2,US
haw,Holmes and Watson,2018,2,Etan Cohen,56,Columbia Pictures,1,6,US
offs,Official Secrets,2019,2,Gavin Hood,57,IFC Films,1,3,CAN
tlmtwo,The Lego Movie 2,2019,2,Mike Mitchell,57,Warner Bros,1,8,US
coup,Coup 53,2019,2,Taghi Amirani,57,Amirani Media,1,7,UK
btdthe,Beat the Devil,2020,2,Nicholas Hytner,58,Bridge Theatre,4,9,UK
dfrddd,Die fantastische Reise des Dr Dolittle,2020,2,Stephen Gaghan,58,Universal Pictures,1,6,US
daus,Die Ausgrabung,2021,2,Simon Stone,59,Netflix,1,2,US
tforg,The Forgiven,2021,2,John Michael McDonagh,59,Roadside Attractions,1,2,US
jbkein,James Bond 007 Keine Zeit zu sterben,2021,2,Cary Joji Fukunaga,59,Metro Goldwyn Mayer,1,1,US
btdfilm,Beat the Devil,2021,2,David Hare,59,Annapurna Pictures,1,9,US
tkm,The Kings Man,2021,2,Matthew Vaughn,59,20th Century Fox,1,6,US
themenu,The Menu,2022,2,Mark Mylod,60,Searchlight Pictures,1,3,US
slcdh,Straight Line Crazy,2022,2,Nicholas Hytner,60,Bridge Theatre,4,2,UK
rf,Ralph Fiennes,,1,,,,7,,
kb,Kenneth Branagh,,1,,,,8,,
dc,David Cronenberg,,1,,,,8,,
neilj,Neil Jordan,,1,,,,8,,
brettrat,Brett Ratner,,1,,,,8,,
hd,Howard Davies,,1,,,,8,,
an,Adrian Noble,,1,,,,8,,
jr,Judith Reilly,,1,,,,8,,
pkthree,Philip Kunhardt III,,1,,,,8,,
mm,Marion Milne,,1,,,,8,,
ap,Arie Posin,,1,,,,8,,
mf,Martha Fiennes,,1,,,,8,,
fm,Fernando Meirelles,,1,,,,8,,
sb,Steve Box,,1,,,,8,,
np,Nick Park,,1,,,,8,,
ji,James Ivory,,1,,,,8,,
nm,Nuno Miranda,,1,,,,8,,
dw,Deborah Warner,,1,,,,8,,
jk,Jonathan Kent,,1,,,,8,,
red,Robert Edwards,,1,,,,8,,
bb,Bob Balaban,,1,,,,8,,
mc,Michael Colgan,,1,,,,8,,
mb,Matt Birch,,1,,,,8,,
mw,Matthew Warchus,,1,,,,8,,
matvaughn,Matthew Vaughn,,1,,,,8,,
mmcd,Martin McDonagh,,1,,,,8,,
sd,Saul Dibb,,1,,,,8,,
kathrynb,Kathryn Bigelow,,1,,,,8,,
sdal,Stephen Daldry,,1,,,,8,,
ag,Anthony Geffen,,1,,,,8,,
sw,Susanna White,,1,,,,8,,
ll,Louis Leterrier,,1,,,,8,,
rickg,Ricky Gervais,,1,,,,8,,
stephm,Stephen Merchant,,1,,,,8,,
tn,Trevor Nunn,,1,,,,8,,
dh,David Hare,,1,,,,8,,
jlieb,Jonathan Liebesmann,,1,,,,8,,
mn,Mike Newell,,1,,,,8,,
sm,Sam Mendes,,1,,,,8,,
wa,Wes Anderson,,1,,,,8,,
pca,Peter Cattaneo,,1,,,,8,,
vgla,Vera Glagoleva,,1,,,,8,,
sg,Simon Godwin,,1,,,,8,,
lugu,Luca Guadagnino,,1,,,,8,,
rg,Rupert Goold,,1,,,,8,,
ethcoen,Ethan Coen,,1,,,,8,,
joelcoen,Joel Coen,,1,,,,8,,
ebw,Elliot Barnes Worrell,,1,,,,8,,
tk,Travis Knight,,1,,,,8,,
cmckay,Chris Mckay,,1,,,,8,,
vr,Vanessa Redgrave,,1,,,,8,,
etancohen,Etan Cohen,,1,,,,8,,
gh,Gavin Hood,,1,,,,8,,
mikemitch,Mike Mitchell,,1,,,,8,,
taghia,Taghi Amirani,,1,,,,8,,
nhyt,Nicholas Hytner,,1,,,,8,,
stega,Stephen Gaghan,,1,,,,8,,
