id,name,type,age,year,sector,genre,land
rg,Ruber Grint,1,1,1988,7,,UK
t,Thunderpants,2,14,2002,1,6,UK
dl,Driving Lessons,2,18,2006,1,6,UK
c,Cherrybomb,2,21,2009,1,3,UK
wt,Wild Target,2,22,2010,1,1,UK
cfwm,Come Fly With me,2,23,2011,2,6,UK
itw,Into the White,2,24,2012,1,1,NOR
ad,American Dad,2,24,2012,2,8,US
llcc,Lang lebe Charly C,2,25,2013,1,2,US
cbgb,CBGB,2,25,2013,1,2,US
sc,Super Clyde,2,25,2013,1,8,US
pp,Postman Pat,2,25,2013,1,8,UK
m,Moonwalkers,2,27,2015,1,6,FR
s,Snatch,2,29,2017,2,1,UK
sn,Sick Note,2,30,2018,2,6,UK
dmabc,Die Morde des Herrn ABC,2,30,2018,2,3,UK
se,Servant,2,35,2023,2,4,US
gdtcoc,Gullimero del Toros Cabinet of Curiosities,2,34,2022,2,4,US
ktc,Knock the Cabin,2,35,2023,1,4,US
lh,Lego House,2,23,2011,5,2,US
hbpp,Happy Bithday Peter Pan,2,17,2005,2,7,UK
fb,Fussball,2,25,2013,1,8,ARG
eom,Enemy of man,2,26,2014,1,2,UK
tus,Tracey Ullmans Show,2,28,2016,2,6,UK
um,Urban Myths,2,29,2017,2,6,UK
mp,Mission Pictures,2,,,9,,
bbc,BBC,2,,,9,,
ukfc,UK Film Council,2,,,9,,
ge,Generation Entertainment,2,,,9,,
mlp,Magic Light Productions,2,,,9,,
fff,Film Fund FUZZ,2,,,9,,
cf,20th Century Fox,2,,,9,,
vp,Voltage Pictures,2,,,9,,
ufp,Unclaimed Freight Productions,2,,,9,,
cbs,CBS Entertainment,2,,,9,,
rgh,Rubicon Group Holding,2,,,9,,
wv,Will Vinton,2,,,9,,
eeddy,Exile Entertainment Double Dare You,2,,,9,,
cp,Columbia Pictures,2,,,9,,
kbp,King Bert Productions,2,,,9,,
mgm,MGM British Studio,2,,,9,,
bep,Blinding Edge Pictures,2,,,9,,
wmg,Warner Music Group,2,,,9,,
dp,Diverse Productions,2,,,9,,
hb,100 Bares,2,,,9,,
us,Universal Studios,2,,,9,,
hkf,Hell Kite Films,2,,,9,,
sa,Sky Arts,2,,,9,,
ph,Peter Hewitt,1,,,8,,
jb,Jeremy Brock,1,,,8,,
lbd,Lisa Barros DSa,1,,,8,,
jl,Jonathan Lynn,1,,,8,,
pk,Paul King,1,,,8,,
pn,Petter Naess,1,,,8,,
sm,Seth MacFarlane,1,,,8,,
freb,Frederik Bond,1,,,8,,
rm,Randall Miller,1,,,8,,
mf,Michael Fresco,1,,,8,,
md,Mike Disa,1,,,8,,
abj,Antoine Bardou Jacquet,1,,,8,,
gr,Guy Ritchie,1,,,8,,
ml,Matt Lipsey,1,,,8,,
ft,Frank Tashlin,1,,,8,,
mns,M Night Shymalan,1,,,8,,
jk,Jennifer Kent,1,,,8,,
sr,Shane Ramirez,1,,,8,,
ra,Roy Ackerman,1,,,8,,
jjc,Juan Jose Campanella,1,,,8,,
vr,Vincent Regan,1,,,8,,
jd,Jamie Dooner,1,,,8,,
bp,Ben Palmer,1,,,8,,
