id,name,type,age,year,sector,genre,land
ml,Matthew Lewis,1,,,7,,
notld,Night of the Loving Dead,2,23,2012,1,6,UK
tsyn,The Syndicate,2,23,2012,2,2,UK
trise,The Rise,2,23,2012,1,3,UK
ourboys,Our Boys,2,23,2012,4,2,UK
tswsh,The Sweet Shop,2,24,2013,1,2,UK
dip,Death in Paradise,2,26,2015,2,6,UK
b42,Bluestone 42,2,24,2013,2,6,UK
happyv,Happy Valley,2,27,2016,2,3,UK
julrem,Juliet Remembered,2,27,2016,1,2,UK
eghj,Ein ganzes halbes Jahr,2,27,2016,1,2,US
ripstr,Ripper Street,2,27,2016,2,2,UK
drunkh,Drunk History UK,2,28,2017,2,6,UK
girlf,Girlfriends,2,29,2018,2,2,UK
term,Terminal,2,29,2018,1,6,US
nutnic,Nutritiously Nicola,2,29,2018,2,6,UK
babyd,Baby Done,2,31,2020,1,6,NZ
dudlv,Der Doktor und das liebe Vieh,2,31,2020,2,6,UK
attitudemag,Attitude,2,25,2015,6,9,UK
nfts,National Film and Television School NFTS,2,,,9,,
rollem,Rollem Productions,2,,,9,,
molimis,Moli-Mischief,2,,,9,,
mwsfilms,MWS Films,2,,,9,,
redplanet,Red Planet Pictures,2,,,9,,
bbcuk,BBC British Broadcasting Corporation,2,,,9,,
redprod,Red Production Company,2,,,9,,
jsbfilms,JSB Films,2,,,9,,
mgm,Metro Goldwyn Mayer MGM,2,,,9,,
tigerap,Tiger Aspect Production,2,,,9,,
comedycentral,Comedy Central,2,,,9,,
beaglepug,Beagle Pug Films,2,,,9,,
yayay,Double Yay Productions,2,,,9,,
piki,Piki Films,2,,,9,,
playg,Playground Entertainment,2,,,9,,
attitude,Attitude,2,,,9,,
annahum,Anna Humphries,1,,,8,,
rowata,Rowan Atahle,1,,,8,,
davgrin,David Grindley,1,,,8,,
benmyers,Ben Myers,1,,,8,,
richsig,Richard Signy,1,,,8,,
sallywain,Sally Wainwright,1,,,8,,
tamzin,Tamzin Merchant,1,,,8,,
theashar,Thea Sharrock,1,,,8,,
tommckay,Tom McKay,1,,,8,,
domlec,Dominic Leclerc,1,,,8,,
vaughnst,Vaughn Stein,1,,,8,,
osagie,Osagie Samuel,1,,,8,,
curtisvow,Curtis Vowell,1,,,8,,
andyhay,Andy Hay,1,,,8,,
