id,name,type,age,year,sector,genre,land,production,regisseur
male,Matthew Lewis,1,,,7,,,,
niofthlode,Night of the Loving Dead,2,23,2012,1,6,UK,National Film and Television School NFTS,Anna Humphries
thsy,The Syndicate,2,23,2012,2,2,UK,Rollem Productions,
thri,The Rise,2,23,2012,1,3,UK,Moli-Mischief,Rowan Atahle
oubo,Our Boys,2,23,2012,4,2,UK,,David Grindley
thswsh,The Sweet Shop,2,24,2013,1,2,UK,MWS Films,Ben Myers
deinpa,Death in Paradise,2,26,2015,2,6,UK,Red Planet Pictures,Richard Signy
bl42,Bluestone 42,2,24,2013,2,6,UK,BBC British Broadcasting Corporation,
hava,Happy Valley,2,27,2016,2,3,UK,Red Production Company,Sally Wainwright
jure,Juliet Remembered,2,27,2016,1,2,UK,JSB Films,Tamzin Merchant
eigahaja,Ein ganzes halbes Jahr,2,27,2016,1,2,US,Metro Goldwyn Mayer MGM,Thea Sharrock
rist,Ripper Street,2,27,2016,2,2,UK,Tiger Aspect Production,
drhiuk,Drunk History UK,2,28,2017,2,6,UK,Comedy Central,Tom McKay
girlfriends,Girlfriends,2,29,2018,2,2,UK,Rollem Productions,Dominic Leclerc
terminal,Terminal,2,29,2018,1,6,US,Beagle Pug Films,Vaughn Stein
nuni,Nutritiously Nicola,2,29,2018,2,6,UK,Double Yay Productions,Osagie Samuel
bado,Baby Done,2,31,2020,1,6,NZ,Piki Films,Curtis Vowell
dedoundalivi,Der Doktor und das liebe Vieh,2,31,2020,2,6,UK,Playground Entertainment,Andy Hay
attitude,Attitude,2,25,2015,6,9,UK,Attitude,
nafiantesc,National Film and Television School NFTS,2,,,9,,,,
ropr,Rollem Productions,2,,,9,,,,
momi,Moli-Mischief,2,,,9,,,,
mws,MWS Films,2,,,9,,,,
replpi,Red Planet Pictures,2,,,9,,,,
bbc,BBC British Broadcasting Corporation,2,,,9,,,,
reprco,Red Production Company,2,,,9,,,,
jsb,JSB Films,2,,,9,,,,
mgm,Metro Goldwyn Mayer ,2,,,9,,,,
tiaspr,Tiger Aspect Production,2,,,9,,,,
coce,Comedy Central,2,,,9,,,,
bepufi,Beagle Pug Films,2,,,9,,,,
doyapr,Double Yay Productions,2,,,9,,,,
pifi,Piki Films,2,,,9,,,,
plen,Playground Entertainment,2,,,9,,,,
anhu,Anna Humphries,1,,,8,,,,
roat,Rowan Atahle,1,,,8,,,,
dagr,David Grindley,1,,,8,,,,
bemy,Ben Myers,1,,,8,,,,
risi,Richard Signy,1,,,8,,,,
sawa,Sally Wainwright,1,,,8,,,,
tame,Tamzin Merchant,1,,,8,,,,
thsh,Thea Sharrock,1,,,8,,,,
tomc,Tom McKay,1,,,8,,,,
dole,Dominic Leclerc,1,,,8,,,,
vast,Vaughn Stein,1,,,8,,,,
ossa,Osagie Samuel,1,,,8,,,,
cuvo,Curtis Vowell,1,,,8,,,,
anha,Andy Hay,1,,,8,,,,
