id,name,type,age,year,sector,genre,country,production,regie
olph,Oliver (Martyn John) Phelps,1,36,1986,7,,,,
kingdom,Kingdom,2,23,2009,2,6,UK,Parallel Film and Television,Simon Wheeler
siwh,Simon Wheeler,1,,,,,,,
pafiantepr,Parallel Film and Television Productions,2,,,,,,,
owwoen,Own worst enemy,2,11,2012,1,6,UK,Universal Media Studios,Philip Pug
phpu,Philip Pug,1,,,,,,,
universal,Universal Media Studios,2,,,,,,,
thtu,The Turn,2,7,2016,1,3,USA,"Echoes in Silence productions, Lost Boys",Scott F. Evans
scfev,Scott F. Evans,1,,,,,,,
ecinsipr,Echoes in Silence productions,2,,,,,,,
lobo,Lost Boys,2,,,,,,,
daanthhuzo,Danny and the Human Zoo,2,8,2015,1,2,UK,"Bristish Broadcasting Coproration, Red Production Company",Destiny Ekaragha
deek,Destiny Ekaragha,1,,,,,,,
bbc,Bristish Broadcasting Coproration,2,,,,,,,
reproco,Red Production Company,2,,,,,,,
kiofthne,King of the nerds,2,10,2013,2,9,UK,"TBS, Warner Bros",Anthony Carbone
anca,Anthony Carbone,1,,,,,,,
tbs,TBS,2,,,,,,,
wabr,Warner Bros,2,,,,,,,
laniinso,Last Night in Soho,2,2,2021,1,4,UK,"Focus Feature International, Film4",Edgar Wright
edwr,Edgar Wright,1,,,,,,,
fofein,Focus Feature International,2,,,,,,,
f4,Film4,2,,,,,,,
amiey,A Minds Eye,2,23,2009,1,7,UK,Heraclitus Pictures,Joanna Callaghan
joca,Joanna Callaghan,1,,,,,,,
ch83fi,Channel 83 Films,2,,,,,,,
hepi,Heraclitus Pictures,2,,,,,,,
