id,name,type,age,year,sector,genre,land,Produktionsfirma,Regie
thplwhiwr,The Play What I Wrote,2,39,2001,4,6,UK,Wyndhams Theatre,Kenneth Branagh
spider,Spider,2,40,2002,1,3,US,Sony Pictures Classics,David Cronenberg
dedivomoca,Der Dieb von Monte Carlo,2,40,2002,1,2,US,Fox,Neil Jordan
rodr,Roter Drache,2,40,2002,1,4,US,Universal Pictures,Brett Ratner
malost,Manhatten Love Story,2,40,2002,1,6,US,Columbia Pictures,Kenneth Branagh
thtacu,The Talking Cure,2,41,2003,4,2,UK,Royal National Theatre,Howard Davies
brand,Brand,2,41,2003,4,2,UK,The Royal Shakespeare Company,Adrian Noble
liki,Libertys Kids,2,40,2002,2,8,US,PBS,Judith Reilly
likitwo,Libertys Kids,2,41,2003,2,8,US,PBS,Judith Reilly
frahiofus,Freedom A History of US,2,41,2003,2,7,US,PBS,Philip Kunhardt III
tedatodd,Ten Days to DDay,2,42,2004,1,2,US,AandEs History Channel,Marion Milne
thchglinkldo,The Chumscrubber Glueck in kleinen Dosen,2,43,2005,1,2,US,Picturehouse,Arie Posin
chromophobia,Chromophobia,2,43,2005,1,2,CAN,Momentum Pictures,Martha Fiennes
deewga,Der ewige Gaertner,2,43,2005,1,2,US,Focus Features,Fernando Meirelles
waungraudejanaderi,Wallace und Gromit Auf der Jagd nach dem Riesenkaninchen,2,43,2005,1,8,US,DreamWorks,Steve Box
waungraudejanaderitwo,Wallace Gromit Auf der Jagd nach dem Riesenkaninchen,2,43,2005,1,8,US,DreamWorks,Nick Park
thwhco,The White Countess,2,43,2005,1,2,US,Sony Pictures Classics,James Ivory
hapoanthgooffi,Harry Potter and the Goblet of Fire,2,43,2005,6,9,US,Electronic Arts,Nuno Miranda
juca,Julius Caesar,2,43,2005,4,2,UK,Barbican Centre,Deborah Warner
fahe,Faith Healer,2,44,2006,4,2,UK,GateTheatre,Jonathan Kent
laofthbl,Land of the Blind,2,44,2006,1,3,US,Samuel Goldwyn Films,Robert Edwards
beando,Bernard and Doris,2,44,2006,1,6,US,HBO,Bob Balaban
filo,First Love,2,45,2007,4,2,AUS,Sydney Festival,Michael Colgan
hapoanthorofthph,Harry Potter and the Order of the Phoenix,2,45,2007,6,9,US,Electronic Arts,Matt Birch
degodege,Der Gott des Gemetzels,2,46,2008,4,6,UK,Gielgud Theatre,Matthew Warchus
kooe,Koenig Oedipus,2,46,2008,4,2,UK,Royal National Theatre,Jonathan Kent
brseunst,Bruegge sehen und sterben,2,46,2008,1,6,US,Focus Features,Martin McDonagh
dihe,Die Herzogin,2,46,2008,1,3,US,Paramount Pictures,Saul Dibb
tokothhulo,Toedliches Kommando The Hurt Locker,2,46,2008,1,1,DE,Summit Media,Kathryn Bigelow
devo,Der Vorleser,2,46,2008,1,2,US,Weinstein Co,Stephen Daldry
thwidr,The Wildest Dream,2,48,2010,1,7,US,National Geographic,Anthony Geffen
eizanaknaufaineineab,Eine zauberhafte Nanny Knall auf Fall in ein neues Abenteuer,2,48,2010,1,6,US,Universal Studios,Susanna White
kadeti,Kampf der Titanen,2,48,2010,1,2,US,Warner Bros,Louis Leterrier
cejudaleunaner,Cemetery Junction Das Leben und andere Ereignisse,2,48,2010,1,2,US,Sony Pictures,Ricky Gervais
