from,to,relation
hame,francr,1
hame,hapoanthorofthph,1
hame,merlin,1
hame,juwi,1
hame,gala,1
hame,thmu,1
hame,thlociofz,1
hame,edison,1
hame,thbaofbusc,1
hame,thbaofbuscc,1
hame,trautmann,1
hame,wafothba,1
hame,thwaofthwo,1
hame,hidama,1
hame,tholgu,1
hame,thdealthti,1
hame,sayopr,1
hame,thquga,1
hame,thtrofma,1
hame,plbapl,1
hame,thpabley,1
stpo,francr,3
mabi,hapoanthorofthph,3
aswa,merlin,3
pase,juwi,3
brhi,gala,3
sutu,thmu,3
jagr,thlociofz,3
algore,edison,3
etco,thbaofbusc,3
joco,thbaofbuscc,3
mahro,trautmann,3
cigu,wafothba,3
crvi,thwaofthwo,3
otba,hidama,3
giprby,tholgu,3
anca,thdealthti,3
hami,sayopr,3
scfr,thquga,3
amkr,plbapl,3
scco,thpabley,3
bbc,francr,2
bbc,hapoanthorofthph,2
bbc,merlin,2
bbc,juwi,2
bbc,gala,2
elar,thmu,2
twtw,thlociofz,2
papi,edison,2
thweco,thbaofbusc,2
thweco,thbaofbuscc,2
mizopr,trautmann,2
lieblingsfilm,wafothba,2
cofi,thwaofthwo,2
masc,hidama,2
skydance,tholgu,2
brmoco,thdealthti,2
grve,sayopr,2
netflix,thquga,2
a24,thtrofma,2
rime,plbapl,2
crcrpi,thpabley,2
