id,name,type,age,year,sector,genre,land,Produktionsfirma,Regie
francr,Friends & Crocodiles,2,16,2005,1,2,UK,BBC One,Stephen Poliakoff
hapoanthorofthph,Harry Potter and the Order of the Phoenix,2,18,2007,6,9,US,Electronic Arts,Matt Birch
merlin,Merlin ,2,21,2010,2,2,UK,BBC One,Ashley Way
juwi,Just William,2,21,2010,2,9,UK,BBC One ,Paul Seed
gala,Garrows Law,2,22,2011,2,2,UK,Twenty Twenty,Bryn Higgins
thmu,The Musketeers,2,27,2016,2,2,UK,BBC One,Susan Tully
thlociofz,The Lost City of Z ,2,27,2016,1,2,US,Paramount Pictures,James Gray
edison,Edison,2,28,2017,1,2,US,The Weinstein Company,Alfonso Gomez-Rejon
thbaofbusc,The Ballad of Buster Scruggs,2,29,2018,1,2,US,Mike Zoss Productions,Ethan Coen
thbaofbuscc,The Ballad of Buster Scruggs,2,29,2018,1,2,US,Mike Zoss Productions,Joel Coen
trautmann,Trautmann,2,29,2018,1,2,UK,Lieblingsfilm,Marcus H. Rosenmüller
wafothba,Waiting for the Barbarians,2,30,2019,1,2,US,Constantin Film,Ciro Guerra
thwaofthwo,The War of the Worlds,2,30,2019,2,1,UK,Mammoth Screen,Craig Viveiros
hidama,His Dark Materials,2,30,2019,2,5,UK,BBC One,Otto Bathurst
tholgu,The Old Guard ,2,31,2020,1,1,US,Skydance,Gina Prince-Bythewood
thdealthti,The Devil All the Time,2,31,2020,1,3,US,Bronx Moving Co.,Antonio Campos
sayopr,Say Your Prayers,2,31,2020,1,6,UK,Gravitas Ventures,Harry Michell
thquga,The Queen´s Gambit,2,31,2020,2,2,US,Netflix,Scott Frank 
thtrofma,The Tragedy of Macbeth,2,32,2021,1,2,US,A24,Joel Coen
plbapl,Please Baby Please ,2,33,2022,1,9,US,Rivulet Media,Amanda Kramer
thpabley,The Pale Blue Eye,2,33,2022,1,3,US,Cross Creek Pictures,Scott Cooper
hame,Harry Melling,,,,7,,,,
stpo,Stephen Poliakoff,,,,8,,,,
mabi,Matt Birch,,,,8,,,,
aswa,Ashley Way,,,,8,,,,
pase,Paul Seed,,,,8,,,,
brhi,Bryn Higgins,,,,8,,,,
sutu,Susan Tully,,,,8,,,,
jagr,James Gray,,,,8,,,,
algore,Alfonso Gomez-Rejon,,,,8,,,,
etco,Ethan Coen,,,,8,,,,
joco,Joel Coen,,,,8,,,,
mahro,Marcus H. Rosenmüller,,,,8,,,,
cigu,Ciro Guerra,,,,8,,,,
crvi,Craig Viveiros,,,,8,,,,
otba,Otto Bathurst,,,,8,,,,
giprby,Gina Prince-Bythewood,,,,8,,,,
anca,Antonio Campos,,,,8,,,,
hami,Harry Michell,,,,8,,,,
scfr,Scott Frank ,,,,8,,,,
amkr,Amanda Kramer,,,,8,,,,
scco,Scott Cooper,,,,8,,,,
bbc,BBC One,,,,9,,,,
elar,Electronic Arts,,,,9,,,,
twtw,Twenty Twenty,,,,9,,,,
papi,Paramount Pictures,,,,9,,,,
thweco,The Weinstein Company,,,,9,,,,
mizopr,Mike Zoss Productions,,,,9,,,,
lieblingsfilm,Lieblingsfilm,,,,9,,,,
cofi,Constantin Film,,,,9,,,,
masc,Mammoth Screen,,,,9,,,,
skydance,Skydance,,,,9,,,,
brmoco,Bronx Moving Co.,,,,9,,,,
grve,Gravitas Ventures,,,,9,,,,
netflix,Netflix,,,,9,,,,
a24,A24,,,,9,,,,
rime,Rivulet Media,,,,9,,,,
crcrpi,Cross Creek Pictures,,,,9,,,,
