id(neu),name,type,age,year,sector,genre,land,Produktion,Regie
japh,James Phelps,1,1,1986,7,,UK,,
amiey,A Mind´s Eye,2,23,2009,1,7,UK,Heraclitus Pictures,Joanna Callaghan
kingdom,Kingdom,2,23,2009,2,6,UK,Parallel Film and Television,Simon Wheeler
wath,Ward three,2,26,2012,1,4,UK,Met Film School,Saad Abbas
thtu,The Turn,2,26,2012,1,2,UK,Superfilm Productions,Christian Krohn
siwi,Silent Witness,2,29,2015,2,2,UK,British Broadcasting Corporation,Timothy Prager
daanthhuzo,Danny and the Human Zoo,2,29,2015,1,2,UK,British Broadcasting Corporation,Destiny Ekaragha
patchwork,Patchwork,2,29,2015,1,6,US,Infinite Lives Entertainment,Tyler Maclntyre
seda,Seven Days,2,33,2019,1,7,UK,Pixel Revolution Films,Dominic Higgins
cadia,Cadia,2,33,2019,1,5,US,Just a Skosh Productions,Cedric Gegel
laniinso,Last Night in Soho,2,35,2021,1,2,UK,Focus Features International,Edgar Wright
nonono,Normal not Normal,2,36,2022,6,7,UK,Stabl,Alice Homewood
joca,Joanna Callaghan,1,,,8,,,,
siwh,Simon Wheeler,1,,,8,,,,
saab,Saad Abbas,1,,,8,,,,
chkr,Christian Krohn,1,,,8,,,,
tipr,Timothy Prager,1,,,8,,,,
deek,Destiny Ekaragha,1,,,8,,,,
tyma,Tyler Maclntyre,1,,,8,,,,
dohi,Dominic Higgins,1,,,8,,,,
cege,Cedric Gegel,1,,,8,,,,
edwr,Edgar Wright,1,,,8,,,,
alho,Alice Homewood,1,,,8,,,,
hepi,Heraclitus Pictures,2,,,9,,,,
pafiante,Parallel Film and Television,2,,,9,,,,
mefisc,Met Film School,2,,,9,,,,
supr,Superfilm Productions,2,,,9,,,,
bbc,British Broadcasting Corporation,2,,,9,,,,
inlien,Infinite Lives Entertainment,2,,,9,,,,
pire,Pixel Revolution Films,2,,,9,,,,
juaskpr,Just a Skosh Productions,2,,,9,,,,
fofein,Focus Features International,2,,,9,,,,
stabl,Stabl,2,,,9,,,,
