from,to,relation
japh,amiey,1
japh,kingdom,1
japh,wath,1
japh,thtu,1
japh,siwi,1
japh,daanthhuzo,1
japh,patchwork,1
japh,seda,1
japh,cadia,1
japh,laniinso,1
japh,nonono,1
joca,amiey,3
siwh,kingdom,3
saab,wath,3
chkr,thtu,3
tipr,siwi,3
deek,daanthhuzo,3
tyma,patchwork,3
dohi,seda,3
cege,cadia,3
edwr,laniinso,3
alho,nonono,3
hepi,amiey,2
pafiante,kingdom,2
mefisc,wath,2
supr,thtu,2
bbc,siwi,2
bbc,daanthhuzo,2
inlien,patchwork,2
pire,seda,2
juaskpr,cadia,2
fofein,laniinso,2
stabl,nonono,2
