from,to,relation
rugr,thunderpants,1
rugr,drle,1
rugr,cherrybomb,1
rugr,wita,1
rugr,coflwime,1
rugr,intowh,1
rugr,amda,6
rugr,lalechc,1
rugr,sucl,1
rugr,cbgb,1
rugr,popa,6
rugr,moonwalkers,1
rugr,snatch,1
rugr,sino,1
rugr,dimodeheab,1
rugr,servant,1
rugr,gudetocaofcu,1
rugr,knthca,1
rugr,leho,1
rugr,habipepa,6
rugr,fussball,1
rugr,enofma,1
rugr,trulsh,1
rugr,urmy,1
pehe,thunderpants,3
jebr,drle,3
libads,cherrybomb,3
joly,wita,3
paki,coflwime,3
pena,intowh,3
sema,amda,3
frbo,lalechc,3
rami,cbgb,3
mifr,sucl,3
anba,moonwalkers,3
guri,snatch,3
mali,sino,3
frta,dimodeheab,3
mnish,servant,3
jeke,gudetocaofcu,3
mnish,knthca,3
shra,leho,3
roac,habipepa,3
jujoca,fussball,3
vire,enofma,3
jado,trulsh,3
bepa,urmy,3
midi,popa,3
mipi,thunderpants,2
ukfico,drle,2
geen,cherrybomb,2
malipr,wita,2
bbc,coflwime,2
fifufu,intowh,2
20cefo,amda,2
vopi,lalechc,2
unfrpr,cbgb,2
cbs,sucl,2
rugrho,popa,2
wivi,moonwalkers,2
copi,snatch,2
kibepr,sino,2
mgm,dimodeheab,2
bledpi,servant,2
exendodayo,gudetocaofcu,2
bledpi,knthca,2
wabr,leho,2
dipr,habipepa,2
100ba,fussball,2
hekifi,enofma,2
bbc,trulsh,2
skar,urmy,2
