id neu ,name,type,age,year,sector,genre,country,company,director
rugr,Rupert Grint,1,1,1988,7,,UK,,
thunderpants,Thunderpants,2,14,2002,1,6,UK,Mission Pictures,Peter Hewitt
drle,Driving Lessons,2,18,2006,1,6,UK,UK Film Council,Jermey Brock
cherrybomb,Cherrybomb,2,21,2009,1,3,UK,Generation Entertainment,Lisa Barros DSa
wita,Wild Target,2,22,2010,1,1,UK,Magic Light Productions,Jonathan Lynn
coflwime,Come Fly With me,2,23,2011,2,6,UK,Little Britian Productions,Paul King
intowh,Into the White,2,24,2012,1,1,NOR,Film Fund FUZZ,Petter Naess
amda,American Dad,2,24,2012,2,8,US,20th Century Fox,Seth MacFarlane
lalechc,Lang lebe Charly C,2,25,2013,1,2,US,Voltage Pictures,Frederik Bond
cbgb,CBGB,2,25,2013,1,2,US,Unclaimed Freight Productions,Randall Miller
sucl,Super Clyde,2,25,2013,1,8,US,CBS Entertainment,Michael Fresco
popa,Postman Pat,2,25,2013,1,8,UK,Rubicon Group Holding,Mike Disa
moonwalkers,Moonwalkers,2,27,2015,1,6,FR,Will Vinton,Antoine Bardou Jacquet
snatch,Snatch,2,29,2017,2,1,UK,Exile Entertainment Double Dare You,Guy Ritchie
sino,Sick Note,2,30,2018,2,6,UK,BBC,Matt Lipsey
dimodeheab,Die Morde des Herrn ABC,2,30,2018,2,3,UK,Columbia Pictures,Frank Tashlin
servant,Servant,2,35,2023,2,4,US,King Bert Productions,M Night Shymalan
gudetocaofcu,Gullimero del Toros Cabinet of Curiosities,2,34,2022,2,4,US,Metro Goldwyn Mayer,Jennifer Kent
knthca,Knock the Cabin,2,35,2023,1,4,US,Blinding Edge Pictures,M Night Shymalan
leho,Lego House,2,23,2011,5,2,US,Warner Music Group,Shane Ramirez
habipepa,Happy Bithday Peter Pan,2,17,2005,2,7,UK,Diverse Productions,Roy Ackerman
fussball,Fussball,2,25,2013,1,8,ARG,100 Bares,Juan Jose Campanella
enofma,Enemy of man,2,26,2014,1,2,UK,Universal Studios,Vincent Regan
trulsh,Tracey Ullmans Show,2,28,2016,2,6,UK,Hell Kite Films,Jamie Dooner
urmy,Urban Myths,2,29,2017,2,6,UK,Sky Arts,Ben Palmer
mipi,Mission Pictures,2,,,9,,,,
bbc,BBC,2,,,9,,,,
ukfico,UK Film Council,2,,,9,,,,
geen,Generation Entertainment,2,,,9,,,,
malipr,Magic Light Productions,2,,,9,,,,
fifufu,Film Fund FUZZ,2,,,9,,,,
20cefo,20th Century Fox,2,,,9,,,,
vopi,Voltage Pictures,2,,,9,,,,
unfrpr,Unclaimed Freight Productions,2,,,9,,,,
cbs,CBS Entertainment,2,,,9,,,,
rugrho,Rubicon Group Holding,2,,,9,,,,
wivi,Will Vinton,2,,,9,,,,
exendodayo,Exile Entertainment Double Dare You,2,,,9,,,,
copi,Columbia Pictures,2,,,9,,,,
kibepr,King Bert Productions,2,,,9,,,,
mgm,MGM British Studio,2,,,9,,,,
bledpi,Blinding Edge Pictures,2,,,9,,,,
wabr,Warner Music Group,2,,,9,,,,
dipr,Diverse Productions,2,,,9,,,,
100ba,100 Bares,2,,,9,,,,
unst,Universal Studios,2,,,9,,,,
hekifi,Hell Kite Films,2,,,9,,,,
skar,Sky Arts,2,,,9,,,,
pehe,Peter Hewitt,1,,,8,,,,
jebr,Jeremy Brock,1,,,8,,,,
libads,Lisa Barros DSa,1,,,8,,,,
joly,Jonathan Lynn,1,,,8,,,,
paki,Paul King,1,,,8,,,,
pena,Petter Naess,1,,,8,,,,
sema,Seth MacFarlane,1,,,8,,,,
frbo,Frederik Bond,1,,,8,,,,
rami,Randall Miller,1,,,8,,,,
mifr,Michael Fresco,1,,,8,,,,
midi,Mike Disa,1,,,8,,,,
anba,Antoine Bardou Jacquet,1,,,8,,,,
guri,Guy Ritchie,1,,,8,,,,
mali,Matt Lipsey,1,,,8,,,,
frta,Frank Tashlin,1,,,8,,,,
mnish,M Night Shymalan,1,,,8,,,,
jeke,Jennifer Kent,1,,,8,,,,
shra,Shane Ramirez,1,,,8,,,,
roac,Roy Ackerman,1,,,8,,,,
jujoca,Juan Jose Campanella,1,,,8,,,,
vire,Vincent Regan,1,,,8,,,,
jado,Jamie Dooner,1,,,8,,,,
bepa,Ben Palmer,1,,,8,,,,
