id,name,type,age,year,sector,genre,country,production,regisseur
gaol,Gary Oldman,1,,,8,,,,
noba,Nobodys Baby,2,43,2001,1,6,US,Nu Image,David Seltzer
hannibal,Hannibal,2,43,2001,1,4,US,Metro Goldwyn Mayer,Ridley Scott
friends,Friends,2,43,2001,2,6,US,Warner Bros,James Burrows
in60,Interstate 60,2,44,2002,1,6,UK,Seven Arts Entertainment,Bob Gale
grthbu,Greg the Bunny,2,44,2002,2,6,US,20th Century Fox,Carlton Cuse
bethde,Beat the Devil,2,44,2002,1,1,UK,Romulus Films,Tony Scott
tiptoes,Tiptoes,2,44,2002,1,9,FRA,Studio Canal,Matthew Bright
meofho,Medal of Honor,2,45,2003,6,9,US,Dream Works,
trcrstofla,True Crime Streets of LA,2,45,2003,6,9,US,Activision,
sidetohakege,Sin Der Tod hat kein Gewissen,2,45,2003,1,2,US,Singular Pictures,Michael Stevens
whky,Whos Kyle,2,46,2004,1,9,,,Gerald Emerick
babe,Batman Begins,2,47,2005,1,1,US,Warner Bros,Christopher Nolan
defi,Dead Fish,2,47,2005,1,1,,,Charley Standler
badijabe,Backwoods Die Jagd beginnt,2,48,2006,1,3,ESP,Filmax International,Koldo Serra
thleofspanebe,The Legend of Spyro A New Beginning,2,48,2006,6,9,US,Vivendi Universal Games,
thleofspthetni1,The Legend of Spyro The Eternal Night,2,49,2007,2,9,AUS,Krome Studios,
theleofspthetni2,The Legend of Spyro The Eternal Night,2,49,2007,6,9,US,Vivendi Universal Games,
thdani,The Dark Night,2,50,2008,1,1,US,Warner Bros,Christopher Nolan
thleofspdaofthdr,The Legend of Spyro Dawn of the Dragon,2,50,2008,6,9,US,Vivendi Universal Games,
caofduwoatwa,Call of Duty Worlds at War,2,50,2008,6,9,US,Infinity Ward Treyarch Sledgehammer Games,
goto,Gothman Tonight,2,50,2008,2,1,,,Christopher Nolan
thun,The Unborn,2,51,2009,1,4,US,Platinum Dunes,David S Goyer
donogosethpesl,Do Not Go See The Perfect Sleep,2,51,2009,1,1,,,Jeremy Alter
rafa,Rain Fall,2,51,2009,1,1,US,3 Dogs and a Pony,Max Mannix
frwevosc,Frohe Weihnachten von Scrooge,2,51,2009,1,9,,,Robert Zemeckis
pl51,Planet 51,2,51,2009,1,6,ESP,Skydance Animation Madrid,Jorge Blanco
thboofel,The Book of Eli,2,52,2010,1,1,US,Alcon Entertainment,Albert Hughes
caofdublop,Call of Duty Black Ops,2,52,2010,6,9,US,Infinity Ward Treyarch Sledgehammer Games,
bethca,Behind the Carol,2,52,2010,1,9,,,Robert Zemeckis
reriho,Red Riding Hood ,2,53,2011,1,4,US,Warner Bros,Catherine Hardwicke
kufupa,Kung Fu Panda ,2,53,2011,1,8,US,Dream Works,Jennifer Yuh Nelson
titasosp,Tinker Tailor Soldier Spy,2,54,2012,1,9,FRA,Studio Canal,Tomas Alfredson
lawless,Lawless,2,54,2012,1,2,US,Annapurna Pictures,John Hillcoat
thdaniri,The Dark Night Rises,2,54,2012,1,1,US,Warner Bros,Christopher Nolan
guangi,Guns and Girls,2,54,2012,1,3,UK,Freefall Films,Michael Winnick
dabothneda,David Bowie The Next Day,2,55,2013,5,9,US,Columbia Records,Floria Sigismondi
paranoia,Paranoia,2,55,2013,1,3,US,Global Road Entertainment,Robert Luketic
lapemo,La Petite Mort,2,55,2013,1,9,,,Alex Prager
robocop,RoboCop,2,56,2014,1,1,US,Orion Pictures Corporation,Paul Verhoeven
pldeafre,Planet der Affen Revolution,2,56,2014,1,1,US,20th Century Fox,Matt Reeves
ki44,Kind 44,2,57,2015,1,3,US,Summit Entertainment,Daniel Espinosa
mado,Man Down,2,57,2015,1,9,US,Krannel Pictures,Dito Montiel
ledi,Lego Dimensions,2,57,2015,6,9,UK,TT Games,
dajepr,Das Jerico Projekt,2,58,2016,1,1,US,Nu Image,Ariel Vromen
destsona,Den Sternen so nah,2,59,2017,1,2,CHN,Huayi Brothers,Peter Chelsom
kibo,Killers Bodyguard,2,59,2017,1,6,US,Nu Image,Patrick Hughes
didust,Die dunkelste Stunde,2,59,2017,1,9,UK,Working Title Films,Joe Wright
thhibo,The Hitmans Bodyguard,2,59,2017,1,6,US,Nu Image,Patrick Hughes
huki,Hunter Killer,2,60,2018,1,1,US,Nu Image,Donovan Marsh
tau,Tau,2,60,2018,1,3,US,Kaos Theory Entertainment,Frederica D alessandro
kian,Killers Anonymous,2,61,2019,1,1,US,Posterity Pictures,Martin Owen
thsh,The Ship ,2,61,2019,1,4,US,Tucker Tooley Entertainment,Michael Goi
dige,Die Geldwaescherei,2,61,2019,1,2,US,Netflix,Steven Soderbergh
thco,The Courier,2,61,2019,1,3,US,FilmNation Entertainment,Zackary Adler
thwointhwi,The Woman in the Window,2,62,2020,1,3,US,Netflix,Joe Wright
aplamthde,A Place Among the Dead,2,62,2020,1,4,US,Miss Juliet Productions,Juliet Landau
mank,Mank,2,62,2020,1,6,US,Netflix,David Fincher
chrisis,Chrisis,2,63,2021,1,3,UK,Bideford Productions,Nicholas Jarecki
kibo2,Killers Bodyguard 2,2,63,2021,1,6,US,Nu Image,Patrick Hughes
slho,Slow Horses,2,64,2022,1,3,UK,See-Saw Films,
jawhun,Jack White Unstaged,2,54,2012,5,9,US,American Express,Gary Oldman
thpabo,The Patience Bossa,2,46,2004,5,9,,,Gary Oldman
nuim,Nu Image,,,,9,,,,
mgm,Metro Goldwyn Mayer,,,,9,,,,
wabr,Warner Bros ,,,,9,,,,
searen,Seven Arts Entertainment,,,,9,,,,
20cefo,20th Century Fox,,,,9,,,,
rofi,Romulus Films,,,,9,,,,
stca,StudioCanal,,,,9,,,,
drwo,Dream Works,,,,9,,,,
activision,Activision,,,,9,,,,
sipi,Singular Pictures,,,,9,,,,
fiin,Filmax International,,,,9,,,,
viunga,Vivendi Universal Games,,,,9,,,,
krst,Krome Studios,,,,9,,,,
inwatrslga,Infinity Ward Treyarch Sledgehammer Games,,,,9,,,,
pldu,Platinum Dunes,,,,9,,,,
3doanapo,3 Dogs and a Pony,,,,9,,,,
skanma,Skydance Animation Madrid,,,,9,,,,
alen,Alcon Entertainment,,,,9,,,,
anpi,Annapurna Pictures,,,,9,,,,
frfi,Freefall Films,,,,9,,,,
core,Columbia Records,,,,9,,,,
glroen,Global Road Entertainment,,,,9,,,,
orpico,Orion Pictures Corporation,,,,9,,,,
suen,Summit Entertainment,,,,9,,,,
krpi,Krannel Pictures,,,,9,,,,
ttga,TT Games,,,,9,,,,
hubr,Huayi Brothers,,,,9,,,,
wotifi,Working Title Films,,,,9,,,,
kathen,Kaos Theory Entertainment,,,,9,,,,
popi,Posterity Pictures,,,,9,,,,
tutoen,Tucker Tooley Entertainment,,,,9,,,,
netflix,Netflix,,,,9,,,,
finaen,Film Nation Entertainment,,,,9,,,,
mijupr,Miss Juliet Production,,,,9,,,,
bipr,Bideford Productions,,,,9,,,,
sesafi,See-Saw Films,,,,9,,,,
amex,American Express,,,,9,,,,
dase,David Seltzer,,,,8,,,,
risc,Ridley Scott,,,,8,,,,
jabu,James Burrows,,,,8,,,,
boga,Bob Gale,,,,8,,,,
cacu,Carlton Cuse,,,,8,,,,
tosc,Tony Scott,,,,8,,,,
mabr,Matthew Bright,,,,8,,,,
mist,Michael Stevens,,,,8,,,,
geem,Gerald Emerick,,,,8,,,,
chno,Christopher Nolan,,,,8,,,,
chst,Charley Standler,,,,8,,,,
kose,Koldo Serra,,,,8,,,,
dasgo,David S Goyer,,,,8,,,,
jeal,Jeremy Alter,,,,8,,,,
mama,Max Mannix,,,,8,,,,
roze,Robert Zemeckis,,,,8,,,,
jobl,Jorge Blanco,,,,8,,,,
alhu,Albert Hughes,,,,8,,,,
chha,Catherine Hardwicke,,,,8,,,,
jeyune,Jennifer Yuh Nelson,,,,8,,,,
toal,Tomas Alfredson,,,,8,,,,
johi,John Hillcoat,,,,8,,,,
miwi,Michael Winnick,,,,8,,,,
flsi,Floria Sigismondi,,,,8,,,,
rolu,Robert Luketic,,,,8,,,,
alpr,Alex Prager,,,,8,,,,
pave,Paul Verhoegen,,,,8,,,,
mare,Matt Reeves,,,,8,,,,
daes,Daniel Espinosa,,,,8,,,,
dimo,Dito Montiel,,,,8,,,,
arvr,Ariel Vromen,,,,8,,,,
pech,Peter Chelsom,,,,8,,,,
pahu,Patrick Hughes,,,,8,,,,
doma,Donovan Marsh,,,,8,,,,
frdal,Frederica D alessandro,,,,8,,,,
maow,Martin Owen,,,,8,,,,
migo,Michael Goi,,,,8,,,,
stso,Steven Soderbergh,,,,8,,,,
zaad,Zackary Adler,,,,8,,,,
jowr,Joe Wright,,,,8,,,,
jula,Juliet Landau,,,,8,,,,
dafi,David Fincher,,,,8,,,,
nija,Nicholas Jarecki,,,,8,,,,
