id,name,type,age,year,sector,company,regisseur,genre,country
heboca,Helena Bonham Carter,1,,,7,,,,
pldeaf,Planet der Affen,2,35,2001,1,20th Century Fox,Tim Burton,5,US
novocaine,Novocaine,2,35,2001,1,Artisan Entertainment,David Atkins,6,US
football,Football,2,35,2001,1,,Gaby Dellal,9,
thheofme,The Heart of Me,2,36,2002,1,ThinkFilm,Thaddeus O Sullivan,2,US
tihuvowaus,Till Human Voices Wake us,2,36,2002,1,Paramount Pictures,Michael Petroni,2,US
lifrba,Live from Baghdad,2,36,2002,1,HBO Films,Mick Jackson,2,US
hevi,Henry VIII,2,37,2003,2,CBS,Pete Travis,2,US
bifi,Big Fish,2,37,2003,1,Columbia Pictures,Tim Burton,5,US
lesn,Lemony Snicket,2,38,2004,1,DreamWorks,Brad Silberling,6,US
chundisc,Charlie und die Schokoladenfabrik,2,39,2005,1,Warner Bros ,Tim Burton,5,US
cowiotwo,Conversations with other Women,2,39,2005,1,Fabrication Films,Hans Canosa,9,US
waangrthcoofthwera1,Wallace and Gromit The Course of the Were Rabbit,2,39,2005,6,Frontier Developments,,9,UK
waangrthcoofthwera2,Wallace and Gromit Auf der Jagd nach dem Riesenkaninchen,2,39,2005,1,DreamWorks ,Steve Box,8,US
cobrhomieile,Corpse Bride Hochzeit mit einer Leiche,2,39,2005,1,Warner Bros Pictures,Tim Burton,8,US
mase,Magnificent seven,2,39,2005,1,Metro Goldwyn Mayer,Kenneth Glenaan,1,US
sisi,Sixty Six,2,40,2006,1,First Independent Pictures,Paul Weiland,6,US
swtodetebaaudeflst,Sweeney Todd Der teuflische Barbier aus der Fleet Street,2,41,2007,1,Paramount Pictures,Tim Burton,4,US
tedier,Terminator Die Erloesung,2,43,2009,1,Warner Bros,Joseph McGinty Nichol,1,US
enid,Enid,2,43,2009,1,BBC,James Hawes,2,US
degr,Der Grueffelo,2,43,2009,1,BBC,Max Lang,8,US
alimwu,Alice im Wunderland,2,44,2010,1,Walt Disney,Tim Burton,5,US
thkisp,The Kings Speech ,2,44,2010,1,Weinstein Co,Tom Hooper,2,US
toast,Toast,2,44,2010,1,Wtwo Media,S J Clarkson,6,UK
litosh,Lifes too short,2,45,2011,2,Blink Entertainment,Ricky Gervais,6,UK
dagr,Das Grueffelokind,2,45,2011,1,BBC,Uwe Heidschoetter,8,US
ruwaouofthga,Rufus Wainwright Out of the game,2,46,2012,5,Decca Records,Philip Andelman,9,US
dash,Dark Shadows,2,46,2012,1,Warner Bros ,Tim Burton,4,UK
ath,A Therapy,2,46,2012,1,Prada,Roman Polanski,6,ITA
grer,Große Erwartungen,2,46,2012,1,20th Century Fox,Mike Newell,2,US
lemi,Les Miserables,2,46,2012,1,Universal Pictures,Tom Hooper,9,US
thlora,The Lone Ranger,2,47,2013,1,Walt Disney,Gore Verbinski,1,US
buunta,Burton und Taylor,2,47,2013,1,BBC,Richard Laxton,2,US
dikametr,Die Karte meiner Traeume,2,47,2013,1,Weinstein Co,Jean Pierre Jeunet,1,US
maanspbeinmaansp,Marks and Spencer Believe in Magic and Sparkle,2,47,2013,1,,Johan Renck,9,
divetoge,Die Verschwoerung Toedliche Geschäfte,2,48,2014,1,Carnival Films,David Hare,2,UK
divegnja,Die Verschwoerung Gnadenlose Jagd,2,48,2014,1,Carnival Films,David Hare,2,UK
cinderella,Cinderella,2,49,2015,1,Walt Disney,Kenneth Branagh,9,US
sutastwo,Suffragette Taten statt Worte,2,49,2015,1,Focus Features,Sarah Gavron,2,US
alimwuhidesp,Alice im Wunderland Hinter den Spiegeln,2,50,2016,1,Walt Disney,James Bobin,5,US
loni,Love Nina,2,50,2016,2,BBC,S J Clarkson,2,US
poap,Poles Apart,2,51,2017,1,NFTS,Paloma Baeza,2,UK
elanco,Eleanor and Colette,2,51,2017,1,Elsani Film,Bille August,2,DE
ststanamhe,Stg Stubby An American Hero,2,52,2018,1,Fun Academy Motion Pictures,Richard Lanni,9,US
ocei,Oceans Eight,2,52,2018,1,Warner Bros ,Gary Ross,6,US
blopfodeofthni,Black Ops four Dead of the Night,2,52,2018,6,Treyarch,Jason Blundell,9,US
dedukraedewi,Der dunkle Kristall Aera des Widerstands,2,53,2019,2,Jim Henson Company,,5,US
emfohilojo,E M Forster His longest Journey,2,53,2019,1,,Adrian Munsey,7,US
dfthgrsoca,DFS The Great Sofa Caper,2,53,2019,1,DreamWorks ,Magdalena Osinska,8,US
drve,Dragonheart Vengeance,2,54,2020,1,Raffaela Productions,Ivan Silvestrini,5,US
ciqudafohe,Cinema Quarantina Das Fone Hell,2,54,2020,1,,Sam Neill,9,
enho,Enola Holmes,2,54,2020,1,Warner Bros ,Harry Bradbeer,9,US
thcr,The Crown,2,53,2019,2,Sony Pictures ,Christian Schwochow,2,US
clown,Clown,2,54,2020,1,,Luigi Berio,4,
thcl,The Cleaner,2,55,2021,2,CBS,Les Mayfield,6,US
thho,The House,2,56,2022,1,Nexus Studios,Paloma Baeza,6,UK
tepe,Ten Percent,2,56,2022,2,Bron Studios,Sam Leifer,6,US
enho2,Enola Holmes 2,2,56,2022,1,Warner Bros ,Harry Bradbeer,9,US
apwasesiitaldoth,Apple Watch Series six It already does that,2,54,2020,3,Apple,,9,UK
bradbrneda,Bryan Adams Brand New Day,2,49,2015,5,Polydor,Bryan Adams,9,UK
wiba,Wild Babys,2,56,2022,2,Netflix,,7,US
nolly,Nolly,2,56,2023,2,Quay Street Productions ,,2,UK
20cefo,twenty Century Fox,2,,,9,,,,
aren,Artisan Entertainment,2,,,9,,,,
thinkfilm,ThinkFilm,2,,,9,,,,
papi,Paramount Pictures,2,,,9,,,,
hbo,HBO Films,2,,,9,,,,
cbs,CBS,2,,,9,,,,
copi,Columbia Pictures,2,,,9,,,,
drwo,Dream Works,2,,,9,,,,
wabr,Warner Bros ,2,,,9,,,,
fafi,Fabrication Films,2,,,9,,,,
frde,Frontier Developments,2,,,9,,,,
fiinpi,First Independent Pictures,2,,,9,,,,
bbc,BBC,2,,,9,,,,
unpi,Universal Pictures,2,,,9,,,,
wadi,Walt Disney,2,,,9,,,,
weco,Weinstein CO,2,,,9,,,,
cafi,Carnival Films,2,,,9,,,,
fofe,Focus Features,2,,,9,,,,
nfts,NFTS,2,,,9,,,,
elfi,Elsani Films,2,,,9,,,,
fuacmopi,Fun Academy Motion Pictures,2,,,9,,,,
jiheco,Jim Henson Company,2,,,9,,,,
rapr,Raffaela Productions,2,,,9,,,,
sopi,Sony Pictures ,2,,,9,,,,
brst,Bron Studios,2,,,9,,,,
qustpr,Quay Street Productions,2,,,9,,,,
wtme,Wtwo Media,2,,,9,,,,
netflix,Netflix,2,,,9,,,,
mgm,Metro Goldwyn Mayer,2,,,9,,,,
blen,Blink Entertainment,2,,,9,,,,
prada,Prada,2,,,9,,,,
nest,Nexus Studios,2,,,9,,,,
apple,Apple,2,,,9,,,,
polydor,Polydor,2,,,9,,,,
treyarch,Treyarch,2,,,9,,,,
dere,Decca Records,2,,,9,,,,
tibu,Tim Burton,1,,,8,,,,
daat,David Atkins,1,,,8,,,,
gade,Gaby Dellal,1,,,8,,,,
thosu,Thaddeus O Sullivan,1,,,8,,,,
mipe,Michael Petroni,1,,,8,,,,
mija,Mick Jackon,1,,,8,,,,
petr,Pete Travis,1,,,8,,,,
brsi,Brad Silberling,1,,,8,,,,
haca,Hans Canosa,1,,,8,,,,
stbo,Steve Box,1,,,8,,,,
kegl,Kenneth Glenaan,1,,,8,,,,
pawe,Paul Weiland,1,,,8,,,,
toho,Tom Hooper,1,,,8,,,,
jaha,James Hawes,1,,,8,,,,
mala,Max Lang,1,,,8,,,,
sjcl,S J Clarkson,1,,,8,,,,
rige,Ricky Gervais,1,,,8,,,,
uwhe,Uwe Heidschoetter,1,,,8,,,,
phan,Philip Andelman,1,,,8,,,,
ropo,Roman Polanski,1,,,8,,,,
mine,Mike Newell,1,,,8,,,,
gove,Gore Verbinski,1,,,8,,,,
rila,Richard Laxton,1,,,8,,,,
jepije,Jean Pierre Jeunet,1,,,8,,,,
jore,Johann Renck,1,,,8,,,,
daha,David Hare,1,,,8,,,,
kebr,Kenneth Branagh,1,,,8,,,,
sagr,Sarah Gravon,1,,,8,,,,
jabo,James Bobin,1,,,8,,,,
paba,Paloma Baeza,1,,,8,,,,
biau,Bille August,1,,,8,,,,
rila,Richard Lanni,1,,,8,,,,
garo,Gary Ross,1,,,8,,,,
jabl,Jason Blundell,1,,,8,,,,
admu,Adrian Munsey,1,,,8,,,,
maos,Magdalena Osinska,1,,,8,,,,
ivsi,Ivan Silvestrini,1,,,8,,,,
habr,Harry Bradbeer,1,,,8,,,,
chsc,Christian Schwochow,1,,,8,,,,
lube,Luigi Bewio,1,,,8,,,,
sale,Sam Leifer,1,,,8,,,,
brad,Bryan Adams,1,,,8,,,,
sane,Sam Neill,1,,,8,,,,
lema,Les Mayfield,1,,,8,,,,
jomc,Joseph McGinty Nichol,1,,,8,,,,
