id,name,type,age,year,sector,genre,country,production,director,networth,agent,boxoffice
francr,Friends & Crocodiles,2,16,2005,1,2,UK,BBC One,Stephen Poliakoff,0,0,0
merlin,Merlin,2,21,2010,2,2,UK,BBC One,Ashley Way,0,0,0
juwi,Just William,2,21,2010,2,9,UK,BBC One,Paul Seed,0,0,0
gala,Garrows Law,2,22,2011,2,2,UK,Twenty Twenty,Bryn Higgins,0,0,0
thmu,The Musketeers,2,27,2016,2,2,UK,BBC One,Susan Tully,0,0,0
thlociofz,The Lost City of Z,2,27,2016,1,2,US,Paramount Pictures,James Gray,0,0,19000000
edison,Edison,2,28,2017,1,2,US,The Weinstein Company,Alfonso Gomez-Rejon,0,0,12000000
thbaofbusc,The Ballad of Buster Scruggs,2,29,2018,1,2,US,Mike Zoss Productions,Ethan Coen,0,0,0
thbaofbuscc,The Ballad of Buster Scruggs,2,29,2018,1,2,US,Mike Zoss Productions,Joel Coen,0,0,0
trautmann,Trautmann,2,29,2018,1,2,UK,Lieblingsfilm,Marcus H. Rosenmüller,0,0,1900000
wafothba,Waiting for the Barbarians,2,30,2019,1,2,US,Constantin Film,Ciro Guerra,0,0,760.000
thwaofthwo,The War of the Worlds,2,30,2019,2,1,UK,Mammoth Screen,Craig Viveiros,0,0,0
hidama,His Dark Materials,2,30,2019,2,5,UK,BBC One,Otto Bathurst,0,0,0
tholgu,The Old Guard,2,31,2020,1,1,US,Skydance,Gina Prince-Bythewood,0,0,0
thdealthti,The Devil All the Time,2,31,2020,1,3,US,Bronx Moving Co.,Antonio Campos,0,0,0
sayopr,Say Your Prayers,2,31,2020,1,6,UK,Gravitas Ventures,Harry Michell,0,0,0
thquga,The Queen´s Gambit,2,31,2020,2,2,US,Netflix,Scott Frank ,0,0,0
thtrofma,The Tragedy of Macbeth,2,32,2021,1,2,US,A24,Joel Coen,0,0,525.000
plbapl,Please Baby Please,2,33,2022,1,9,US,Rivulet Media,Amanda Kramer,0,0,25.000
thpabley,The Pale Blue Eye,2,33,2022,1,3,US,Cross Creek Pictures,Scott Cooper,0,0,0
hame,Harry Melling,1,0,0,7,0,0,0,0,3,Sophie Holden,0
soho,Sophie Holden,1,0,0,10,0,0,0,0,0,0,0
stpo,Stephen Poliakoff,1,0,0,8,0,0,0,0,0,0,0
mabi,Matt Birch,1,0,0,8,0,0,0,0,0,0,0
aswa,Ashley Way,1,0,0,8,0,0,0,0,0,0,0
pase,Paul Seed,1,0,0,8,0,0,0,0,0,0,0
brhi,Bryn Higgins,1,0,0,8,0,0,0,0,0,0,0
sutu,Susan Tully,1,0,0,8,0,0,0,0,0,0,0
jagr,James Gray,1,0,0,8,0,0,0,0,0,0,0
algore,Alfonso Gomez-Rejon,1,0,0,8,0,0,0,0,0,0,0
etco,Ethan Coen,1,0,0,8,0,0,0,0,0,0,0
joco,Joel Coen,1,0,0,8,0,0,0,0,0,0,0
