from,to,relation
rf,tpwiw,1
rf,sp,1
rf,ddvmc,1
rf,rd,1
rf,mhls,1
rf,ttc,1
rf,brhi,1
rf,lk,6
rf,lktwo,6
rf,fahou,6
rf,tdtdd,1
rf,tcsgikd,1
rf,chro,1
rf,deg,1
rf,wagadj,6
rf,wagadjtwo,6
rf,twc,1
rf,hpatgof,6
rf,jcws,1
rf,fhbf,1
rf,lotb,1
rf,bad,1
rf,flsb,1
rf,hpatootp,6
rf,dgdg,1
rf,koe,1
rf,bsus,1
rf,dieh,1
rf,tkthl,1
rf,dv,1
rf,twd,1
rf,ezn,1
rf,kdt,1
rf,cj,1
rf,cjtwo,1
rf,dsws,1
rf,cor,1
rf,dvvahe,1
rf,zdt,1
rf,ge,1
rf,jbsky,1
rf,tiw,1
rf,gbh,1
rf,dvtg,1
rf,dvgj,1
rf,rev,1
rf,mvd,1
rf,masm,1
rf,abs,1
rf,jbspe,1
rf,bshi,1
rf,rthree,1
rf,hc,1
rf,hctwo,1
rf,tw,1
rf,kdts,6
rf,tlbm,6
rf,ss,1
rf,auc,1
rf,ntwc,1
rf,haw,1
rf,offs,1
rf,tlmtwo,6
rf,coup,1
rf,btdthe,1
rf,dfrddd,1
rf,daus,1
rf,tforg,1
rf,jbkein,1
rf,btdfilm,1
rf,tkm,1
rf,themenu,1
rf,slcdh,1
rf,cor,3
rf,ntwc,3
rf,tiw,3
kb,tpwiw,3
kb,mhls,3
dc,sp,3
neilj,ddvmc,3
brettrat,rd,3
hd,ttc,3
an,brhi,3
jr,lk ,3
jr,lktwo,3
pkIII,fahou,3
mm,tdtdd,3
ap,tcsgikd,3
mf,chro,3
fm,deg,3
sb,wagadj,3
np,wagadjtwo,3
ji,twc,3
nm,hpatgof,3
dw,jcws,3
jk,fhbf,3
jk,koe,3
red,lotb,3
bb,bad,3
mc,flsb,3
mb,hpatootp,3
mw,dgdg,3
mw,bshi,3
mmcd,bsus,3
sd,dieh,3
kathrynb,tkthl,3
sdal,dv,3
ag,twd,3
sw,ezn,3
ll,kdt,3
rickg,cj,3
stephm,cjtwo,3
tn,dsws,3
dh,dvvahe,3
dh,dvtg,3
dh,dvgj,3
dh,btdfilm,3
jlieb,zdt,3
mn,ge,3
sm,jbsky,3
sm,jbspe,3
wa,gbh,3
pca,rev,3
vgla,mvd,3
sg,masm,3
sg,auc,3
lugu,abs,3
rg,rthree,3
ethcoen,hc,3
joelcoen,hctwo,3
ebw,tw,3
tk,kdts,3
cmckay,tlbm,3
vr,seas,3
etancohen,haw,3
gh,offs,3
mikemitch,tlmtwo,3
taghia,coup,3
nhyt,btdthe,3
nhyt,slcdh,3
stega,dfrddd,3
sstone,daus,3
jmmcd,tforg,3
cjf,jbkein,3
mmylod,themenu,3
matvaughn,tkm,3
wynd,tpwiw,2
spc,sp,2
spc,twc,2
spc,tiw,2
spc,ntwc,2
fox,ddvmc,2
fox,ge,2
up,rd,2
up,hc,2
up,hctwo,2
up,dfrddd,2
cp,mhls,2
cp,haw,2
rnt,ttc,2
rnt,koe,2
rnt,masm,2
rnt,auc,2
trsc,brhi,2
pbs,lk,2
pbs,lktwo,2
pbs,fahou,2
aehc,tdtdd,2
phouse,tcsgikd,2
momentump,chro,2
focusf,deg,2
focusf,bsus,2
focusf,kdts,2
dreamworks,wagadj,2
dreamworks,wagadjtwo,2
ea,hpatgof,2
ea,hpatootp,2
barbicanc,jcws,2
gt,fhbf,2
sgf,lotb,2
hbo,bad,2
sydneyf,flsb,2
ggt,dgdg,2
paramount,dieh,2
summit,tkthl,2
weinstein,dv,2
weinstein,cor,2
nationalg,twd,2
universals,ezn,2
warner,kdt,2
warner,zdt,2
warner,mvd,2
warner,tlbm,2
warner,tlmtwo,2
sonyp,cj,2
sonyp,cjtwo,2
trh,dsws,2
koch,dvvahe,2
koch,dvtg,2
koch,dvgj,2
spe,jbsky,2
spe,jbspe,2
foxs,gbh,2
foxs,abs,2
bbca,rev,2
ovt,bshi,2
almeidat,rthree,2
kick,tw,2
dissent,seas,2
ifc,offs,2
bridget,btdthe,2
bridget,slcdh,2
roadside,tforg,2
mgw,jbkein,2
anna,btdfilm,2
centuryfox,tkm,2
search,themenu,2
