from,to,relation
bowi,stranded,1
bowi,agch,1
bowi,thre,6
bowi,thse,1
bowi,afthda,1
bowi,beisl,1
bowi,mydaissc,1
bowi,honotoroatr,1
bowi,sweat,1
bowi,whkinenu,1
bowi,achca,1
haen,stranded,2
watowate,agch,2
cojaen,thre,2
inen,thes,2
anolbrpr,afthda,2
elci,beisl,2
maen,mydaissc,2
befi,sweat,2
nenupi,whkinenu,2
towerflix,achca,2
chabe,stranded,3
ricusm,agch,3
hema,thre,3
stbr,thes,3
johu,afthda,3
aash,beisl,3
jugdy,mydaissc,3
anma,honotoroatr,3
daal,sweat,3
ticl,whkinenu,3
daiz,achca,3
bowi,faha,4
bowi,glpopr,5
bowi,sewecosewego,3
bowi,knth,3
bowi,sextant,3
bowi,mean,3
bobolu,sewecosewego,2
bobolu,knth,2
bobolu,sextant,2
bobolu,mean,2
