id,name,type,age,year,sector,genre,land,produktion,regie,networth,agent
francr,Friends & Crocodiles,2,16,2005,1,2,UK,BBC One,Stephen Poliakoff,99,99
merlin,Merlin,2,21,2010,2,2,UK,BBC One,Ashley Way,99,99
juwi,Just William,2,21,2010,2,9,UK,BBC One,Paul Seed,99,99
gala,Garrows Law,2,22,2011,2,2,UK,Twenty Twenty,Bryn Higgins,99,99
thmu,The Musketeers,2,27,2016,2,2,UK,BBC One,Susan Tully,99,99
thlociofz,The Lost City of Z,2,27,2016,1,2,US,Paramount Pictures,James Gray,99,99
edison,Edison,2,28,2017,1,2,US,The Weinstein Company,Alfonso Gomez-Rejon,99,99
thbaofbusc,The Ballad of Buster Scruggs,2,29,2018,1,2,US,Mike Zoss Productions,Ethan Coen,99,99
thbaofbuscc,The Ballad of Buster Scruggs,2,29,2018,1,2,US,Mike Zoss Productions,Joel Coen,99,99
trautmann,Trautmann,2,29,2018,1,2,UK,Lieblingsfilm,Marcus H. Rosenmüller,99,99
wafothba,Waiting for the Barbarians,2,30,2019,1,2,US,Constantin Film,Ciro Guerra,99,99
thwaofthwo,The War of the Worlds,2,30,2019,2,1,UK,Mammoth Screen,Craig Viveiros,99,99
hidama,His Dark Materials,2,30,2019,2,5,UK,BBC One,Otto Bathurst,99,99
tholgu,The Old Guard,2,31,2020,1,1,US,Skydance,Gina Prince-Bythewood,99,99
thdealthti,The Devil All the Time,2,31,2020,1,3,US,Bronx Moving Co.,Antonio Campos,99,99
sayopr,Say Your Prayers,2,31,2020,1,6,UK,Gravitas Ventures,Harry Michell,99,99
thquga,The Queen´s Gambit,2,31,2020,2,2,US,Netflix,Scott Frank ,99,99
thtrofma,The Tragedy of Macbeth,2,32,2021,1,2,US,A24,Joel Coen,99,99
plbapl,Please Baby Please,2,33,2022,1,9,US,Rivulet Media,Amanda Kramer,99,99
thpabley,The Pale Blue Eye,2,33,2022,1,3,US,Cross Creek Pictures,Scott Cooper,99,99
hame,Harry Melling,1,99,99,7,99,99,99,99,3,Sophie Holden
soho,Sophie Holden,1,99,99,10,99,99,99,99,99,99
stpo,Stephen Poliakoff,1,99,99,8,99,99,99,99,99,99
mabi,Matt Birch,1,99,99,8,99,99,99,99,99,99
aswa,Ashley Way,1,99,99,8,99,99,99,99,99,99
pase,Paul Seed,1,99,99,8,99,99,99,99,99,99
brhi,Bryn Higgins,1,99,99,8,99,99,99,99,99,99
sutu,Susan Tully,1,99,99,8,99,99,99,99,99,99
jagr,James Gray,1,99,99,8,99,99,99,99,99,99
algore,Alfonso Gomez-Rejon,1,99,99,8,99,99,99,99,99,99
etco,Ethan Coen,1,99,99,8,99,99,99,99,99,99
joco,Joel Coen,1,99,99,8,99,99,99,99,99,99
mahro,Marcus H. Rosenmüller,1,99,99,8,99,99,99,99,99,99
cigu,Ciro Guerra,1,99,99,8,99,99,99,99,99,99
crvi,Craig Viveiros,1,99,99,8,99,99,99,99,99,99
otba,Otto Bathurst,1,99,99,8,99,99,99,99,99,99
giprby,Gina Prince-Bythewood,1,99,99,8,99,99,99,99,99,99
anca,Antonio Campos,1,99,99,8,99,99,99,99,99,99
hami,Harry Michell,1,99,99,8,99,99,99,99,99,99
scfr,Scott Frank,1,99,99,8,99,99,99,99,99,99
amkr,Amanda Kramer,1,99,99,8,99,99,99,99,99,99
scco,Scott Cooper,1,99,99,8,99,99,99,99,99,99
elar,Electronic Arts,2,99,99,9,99,99,99,99,99,99
twtw,Twenty Twenty,2,99,99,9,99,99,99,99,99,99
thweco,The Weinstein Company,2,99,99,9,99,99,99,99,99,99
mizopr,Mike Zoss Productions,2,99,99,9,99,99,99,99,99,99
lieblingsfilm,Lieblingsfilm,2,99,99,9,99,99,99,99,99,99
cofi,Constantin Film,2,99,99,9,99,99,99,99,99,99
