from,to,relation
male,niofthlode,1
male,thsy,1
male,thri,1
male,oubo,1
male,thswsh,1
male,deinpa,1
male,bl42,1
male,hava,1
male,jure,1
male,eigahaja,1
male,rist,1
male,drhiuk,1
male,girlfriends,1
male,terminal,1
male,nuni,1
male,bado,1
male,dedoundalivi,1
male,attitude,4
nafiantesc,niofthlode,2
ropr,thsy,2
momi,thri,2
mws,thswsh,2
replpi,deinpa,2
bbc,bl42,2
reprco,hava,2
jsb,jure,2
mgm,eigahaja,2
tiaspr,rist,2
coce,drhiuk,2
ropr,girlfriends,2
bepufi,terminal,2
doyapr,nuni,2
pifi,bado,2
plen,dedoundalivi,2
anhu,niofthlode,3
roat,thri,3
dagr,oubo,3
bemy,thswsh,3
risi,deinpa,3
sawa,hava,3
tame,jure,3
thsh,eigahaja,3
tomc,drhiuk,3
dole,girlfriends,3
vast,terminal,3
ossa,nuni,3
cuvo,bado,3
anha,dedoundalivi,3
