id,name,type,age,year,sector,genre,land,production,regie
tofe,Tom Felton,1,,,7,,,,
thdi,The Disappeared,2,21,2008,1,4,UK,Lost Tribe Productions,Johnny Kevorkian
maennertrip,Maennertrip,2,23,2010,1,6,US,Universal Pictures,Nicholas Stoller
niwo,Night Wolf,2,23,2010,1,4,UK,Eyeline Entertainment,Jonathan Glendening
whot,White Other,2,23,2010,1,3,UK,,Dan Hartley
pldeaf,Planet der Affen Prevolution,2,24,2011,1,5,US,Twentieth Century Fox,Rupert Wyatt
apparition,Apparition,2,25,2012,1,4,US,Warner Bros,Todd Lincoln
davela,Das verlorene Labyrinth,2,25,2012,2,2,UK,Scott Free Productions,Cristopher Smith
frthro,From the Rough,2,26,2013,1,2,US,From the Rough Productions,Pierre Bagley
inse,In Secret,2,26,2013,1,2,US,LD Entertainment,Charlie Stratton
dielbe,Dido Elizabeth Belle,2,26,2013,1,2,UK,DJ Films,Amma Asante
fuci1,Full Circle,2,26,2013,2,2,US,Momentum TV,Nick Hamm
fuci2,Full Circle,2,26,2013,2,2,US,Momentum TV,Mimi Leder
muinthfi,Murder in the First,2,27,2014,2,3,US,TNT Originals,Tommaso Pitta
hoidibeapipl,How I didnt become a Piano Player,2,27,2014,1,2,UK,National Film and Television School,Jesse Bochco
agthsu,Against the Sun,2,27,2014,1,2,US,The American Film Company,Brian Peter Falk
auferstanden,Auferstanden,2,29,2016,1,1,US,LD Entertainment,Kevin Reynolds
vovodewo,Völlig von der Wolle,2,29,2016,1,8,RUS,Wizart Animations,Andrey Galat
mefrthki,Message from the King,2,29,2016,1,3,US,Backup Media,Fabrice du Welz
aunki,A United Kingdom,2,29,2016,1,2,UK,Pathe UK,Amma Asante
stratton,Stratton,2,30,2017,1,1,UK,Atomic Arts,Simon West
sere,Sergeant Rex,2,30,2017,1,2,US,LD Entertainment,Gabriela Cowperthwaite
thfl,The Flash,2,29,2016,2,5,US,Berlani Productions,Andy Muschietti
feed,Feed,2,30,2017,1,2,US,Indy Entertainment,Tommy Bertelsen
ophelia,Ophelia,2,31,2018,1,2,UK,Covert Media,Claire McCarthy
