from,to,relation
ew,bs,1
ew,dx,6
ew,syd,1
ew,mw,1
ew,pbw,1
ew,cd,1
ew,tbr,1
ew,te,1
ew,nh,1
ew,vd,1
ew,rg,1
ew,tc,1
ew,bab,1
ew,lw,1
ew,fem,5
ew,oss,5
ew,clim,5
sg,bs,3
sf,dx,3
rs,dx,3
sc,mw,3
sch,pbw,3
fg,cd,3
sco,tbr,3
sr,te,3
eg,te,3
da,nh,3
dh,vd,3
aa,rg,3
jp,tc,3
bc,bab,3
gg,lw,3
bbc,bs,
uas,dx,2
mr,syd,2
ono,syd,2
bbc,mw,2
se,pbw,2
mm,pbw,2
ip,cd,2
az,tbr,2
nf,tbr,2
pg,te,2
cp,te,2
pap,nh,2
tap,vd,2
him,rg,2
pl,tc,2
ls,tc,2
wdp,bab,2
mf,bab,2
cp,lw,2
pp,lw,2
bur,ew,4
pt,ew,4
ch,ew,4
lan,ew,4
vw,ew,4
ew,uno,5
uno,fem,5
ama,oss,4
uno,clim,5
ker,ew,4
