id,name,year,type,Regie,age,Produktionsfirma,sector,genre,land
fandc,Friends & Crocodiles,2005,2,Stephen Poliakoff,16,BBC One,1,2,UK
hpatootp,Harry Potter and the Order of the Phoenix,2007,2,Matt Birch,18,Electronic Arts,6,9,US
merlin,Merlin ,2010,2,Ashley Way,21,BBC One,2,2,UK
justw,Just William,2010,2,Paul Seed,21,BBC One ,2,9,UK
garrowsl,Garrows Law,2011,2,Bryn Higgins,22,Twenty Twenty,2,2,UK
themusk,The Musketeers,2016,2,Susan Tully,27,BBC One,2,2,UK
thelost,The Lost City of Z ,2016,2,James Gray,27,Paramount Pictures,1,2,US
edison,Edison,2017,2,Alfonso Gomez-Rejon,28,The Weinstein Company,1,2,US
theballad,The Ballad of Buster Scruggs,2018,2,Ethan Coen,29,Mike Zoss Productions,1,2,US
theballadjc,The Ballad of Buster Scruggs,2018,2,Joel Coen,29,Mike Zoss Productions,1,2,US
trautmann,Trautmann,2018,2,Marcus H. Rosenmüller,29,Lieblingsfilm,1,2,UK
wftb,Waiting for the Barbarians,2019,2,Ciro Guerra,30,Constantin Film,1,2,US
twotw,The War of the Worlds,2019,2,Craig Viveiros,30,Mammoth Screen,2,1,UK
hdm,His Dark Materials,2019,2,Otto Bathurst,30,BBC One,2,5,UK
theold,The Old Guard ,2020,2,Gina Prince-Bythewood,31,Skydance,1,1,US
thedevil,The Devil All the Time,2020,2,Antonio Campos,31,Bronx Moving Co.,1,3,US
syp,Say Your Prayers,2020,2,Harry Michell,31,Gravitas Ventures,1,6,UK
tqg,The Queen´s Gambit,2020,2,Scott Frank ,31,Netflix,2,2,US
ttom,The Tragedy of Macbeth,2021,2,Joel Coen,32,A24,1,2,US
pbp,Please Baby Please ,2022,2,Amanda Kramer,33,Rivulet Media,1,9,US
tpbe,The Pale Blue Eye,2022,2,Scott Cooper,33,Cross Creek Pictures,1,3,US
hm,Harry Melling,,,,,,7,,
stephenpo,Stephen Poliakoff,,,,,,8,,
mb,Matt Birch,,,,,,8,,
ashleyw,Ashley Way,,,,,,8,,
pauls,Paul Seed,,,,,,8,,
brynh,Bryn Higgins,,,,,,8,,
susant,Susan Tully,,,,,,8,,
jamesg,James Gray,,,,,,8,,
alfonsogr,Alfonso Gomez-Rejon,,,,,,8,,
ethcoen,Ethan Coen,,,,,,8,,
joelcoen,Joel Coen,,,,,,8,,
marcushr,Marcus H. Rosenmüller,,,,,,8,,
cirog,Ciro Guerra,,,,,,8,,
craigv,Craig Viveiros,,,,,,8,,
ottob,Otto Bathurst,,,,,,8,,
ginapb,Gina Prince-Bythewood,,,,,,8,,
antonioc,Antonio Campos,,,,,,8,,
harrym,Harry Michell,,,,,,8,,
scottf,Scott Frank ,,,,,,8,,
amandak,Amanda Kramer,,,,,,8,,
scottc,Scott Cooper,,,,,,8,,
bbcone,BBC One,,,,,,9,,
ea,Electronic Arts,,,,,,9,,
twentytwenty,Twenty Twenty,,,,,,9,,
paramount,Paramount Pictures,,,,,,9,,
weinstein,The Weinstein Company,,,,,,9,,
mikezoss,Mike Zoss Productions,,,,,,9,,
lieblingsf,Lieblingsfilm,,,,,,9,,
constantinf,Constantin Film,,,,,,9,,
mammoth,Mammoth Screen,,,,,,9,,
skydance,Skydance,,,,,,9,,
bronz,Bronx Moving Co.,,,,,,9,,
gravitas,Gravitas Ventures,,,,,,9,,
netflix,Netflix,,,,,,9,,
a24,A24,,,,,,9,,
rivulet,Rivulet Media,,,,,,9,,
ccpictures,Cross Creek Pictures,,,,,,9,,
