id,name,type,age,year,sector,company,regisseur,genre,country
hbc,Helena Bonham Carter,1,,,7,,,,
pda,Planet der Affen,2,35,2001,1,twenty Century Fox,Tim Burton,5,US
nc,Novocaine,2,35,2001,1,Artisan Entertainment,David Atkins,6,US
fb,Football,2,35,2001,1,,Gaby Dellal,9,
thom,The Heart of Me,2,36,2002,1,ThinkFilm,Thaddeus O Sullivan,2,US
thvwu,Till Human Voices Wake us,2,36,2002,1,Paramount Pictures,Michael Petroni,2,US
lfb,Live from Baghdad,2,36,2002,1,HBO Films,Mick Jackson,2,US
hv,Henry VIII,2,37,2003,2,CBS,Pete Travis,2,US
bf,Big Fish,2,37,2003,1,Columbia Pictures,Tim Burton,5,US
ls,Lemony Snicket,2,38,2004,1,DreamWorks,Brad Silberling,6,US
cuds,Charlie und die Schokoladenfabrik,2,39,2005,1,Warner Bros Pictures,Tim Burton,5,US
cwow,Conversations with other Women,2,39,2005,1,Fabrication Films,Hans Canosa,9,US
wgtc,Wallace and Gromit The Course of the Were Rabbit,2,39,2005,6,Frontier Developments,,9,UK
wg,Wallace and Gromit Auf der Jagd nach dem Riesenkaninchen,2,39,2005,1,DreamWorks Animation,Steve Box,8,US
cb,Corpse Bride Hochzeit mit einer Leiche,2,39,2005,1,Warner Bros Pictures,Tim Burton,8,US
mnfs,Magnificent seven,2,39,2005,1,Metro Goldwyn Mayer,Kenneth Glenaan,1,US
ss,Sixty Six,2,40,2006,1,First Independent Pictures,Paul Weiland,6,US
st,Sweeney Todd Der teuflische Barbier aus der Fleet Street,2,41,2007,1,Paramount Pictures,Tim Burton,4,US
tmn,Terminator Die Erloesung,2,43,2009,1,Warner Bros,Joseph McGinty Nichol,1,US
enid,Enid,2,43,2009,1,BBC,James Hawes,2,US
dg,Der Grueffelo,2,43,2009,1,BBC,Max Lang,8,US
aiw,Alice im Wunderland,2,44,2010,1,Walt Disney,Tim Burton,5,US
tks,The Kings Speech Die Rede des Koenigs,2,44,2010,1,Weinstein Co,Tom Hooper,2,US
toast,Toast,2,44,2010,1,Wtwo Media,S J Clarkson,6,UK
lts,Lifes too short,2,45,2011,2,Blink Entertainment,Ricky Gervais,6,UK
dgk,Das Grueffelokind,2,45,2011,1,BBC,Uwe Heidschoetter,8,US
ootg,Rufus Wainwright Out of the game,2,46,2012,5,Decca Records,Philip Andelman,9,US
ds,Dark Shadows,2,46,2012,1,Warner Bros Pictures,Tim Burton,4,UK
