id,name,type,age,year,sector,genre,land,Regie,Produktion
jp,James Phelps,1,1,1986,7,,UK,,
ame,A Mind´s Eye,2,23,2009,1,7,UK,Joanna Callaghan,Heraclitus Pictures
kin,Kingdom,2,23,2009,2,6,UK,Simon Wheeler,Parallel Film and Television
wth,Ward three,2,26,2012,1,4,UK,Saad Abbas,Met Film School
tt,The Turn,2,26,2012,1,2,UK,Christian Krohn,Superfilm Productions
siw,Silent Witness,2,29,2015,2,2,UK,Timothy Prager,British Broadcasting Corporation
dathz,Danny and the Human Zoo,2,29,2015,1,2,UK,Destiny Ekaragha,British Broadcasting Corporation
pat,Patchwork,2,29,2015,1,6,US,Tyler Maclntyre,Infinite Lives Entertainment
sd,Seven Days,2,33,2019,1,7,UK,Dominic Higgins,Pixel Revolution Films
cad,Cadia,2,33,2019,1,5,US,Cedric Gegel,Just a Skosh Productions
lnis,Last Night in Soho,2,35,2021,1,2,UK,Edgar Wright,Focus Features International
nnn,Normal not Normal,2,36,2022,6,7,UK,Alice Homewood,Stabl
joca,Joanna Callaghan,1,,,8,,,,
siwh,Simon Wheeler,1,,,8,,,,
saab,Saad Abbas,1,,,8,,,,
chkr,Christian Krohn,1,,,8,,,,
tipr,Timothy Prager,1,,,8,,,,
deek,Destiny Ekaragha,1,,,8,,,,
tyma,Tyler Maclntyre,1,,,8,,,,
dohi,Dominic Higgins,1,,,8,,,,
cege,Cedric Gegel,1,,,8,,,,
edwr,Edgar Wright,1,,,8,,,,
alho,Alice Homewood,1,,,8,,,,
hepi,Heraclitus Pictures,2,,,9,,,,
pfat,Parallel Film and Television,2,,,9,,,,
mfs,Met Film School,2,,,9,,,,
supf,Superfilm Productions,2,,,9,,,,
bbc,British Broadcasting Corporation,2,,,9,,,,
ile,Infinite Lives Entertainment,2,,,9,,,,
prf,Pixel Revolution Films,2,,,9,,,,
jasp,Just a Skosh Productions,2,,,9,,,,
ffi,Focus Features International,2,,,9,,,,
stab,Stabl,2,,,9,,,,
