id,name,type,age,year,sector,produktionsfirma,regisseur,genre,country
op,Oliver Martyn John Phelps,1,36,1986,7,,,,
kin,Kingdom,2,23,2009,2,Parallel Film and Television,Simon Wheeler,6,UK
siwh,Simon Wheeler,1,,,,,,,
pfat,Parallel Film and Television Productions,2,,,,,,,
owe,Own worst enemy,2,11,2012,1,Universal Media Studios,Philip Pug,6,UK
pp,Philip Pug,1,,,,,,,
ums,Universal Media Studios,2,,,,,,,
tt,The Turn,2,7,2016,1,"Echoes in Silence productions, Lost Boys",Scott F. Evans,3,USA
sfe,Scott F. Evans,1,,,,,,,
eis,Echoes in Silence productions,2,,,,,,,
lb,Lost Boys,2,,,,,,,
dathz,Danny and the Human Zoo,2,8,2015,1,"Bristish Broadcasting Coproration, Red Production Company",Destiny Ekaragha,2,UK
deek,Destiny Ekaragha,1,,,,,,,
bbc,Bristish Broadcasting Coproration,2,,,,,,,
rpc,Red Production Company,2,,,,,,,
kotn,King of the nerds,2,10,2013,2,"TBS, Warner Bros",Anthony Carbone,9,UK
ac,Anthony Carbone,1,,,,,,,
tbs,TBS,2,,,,,,,
wb,Warner Bros,2,,,,,,,
lnis,Last Night in Soho,2,2,2021,1,"Focus Feature International, Film4",Edgar Wright,4,UK
edwr,Edgar Wright,1,,,,,,,
ffi,Focus Feature International,2,,,,,,,
f4,Film4,2,,,,,,,
ame,A Minds Eye,2,23,2009,1,Heraclitus Pictures,Joanna Callaghan,7,UK
joca,Joanna Callaghan,1,,,,,,,
c83,Channel 83 Films,2,,,,,,,
hepi,Heraclitus Pictures,2,,,,,,,
