from,to,relation
rg,t,1
rg,dl,1
rg,c,1
rg,wt,1
rg,cfwm,1
rg,itw,1
rg,ad,6
rg,llcc,1
rg,sc,1
rg,cbgb,1
rg,pp,6
rg,m,1
rg,s,1
rg,sn,1
rg,dmabc,1
rg,se,1
rg,gdtcoc,1
rg,ktc,1
rg,lh,1
rg,hbpp,6
rg,fb,1
rg,eom,1
rg,tus,1
rg,um,1
ph,t,3
jb,dl,3
lbd,c,3
jl,wt,3
pk,cfwm,3
pn,itw,3
sm,ad,3
freb,llcc,3
rm,cbgb,3
mf,sc,3
abj,m,3
gr,s,3
ml,sn,3
ft,dmabc,3
mns,se,3
jk,gdtcoc,3
mns,ktc,3
sr,lh,3
ra,hbpp,3
jjc,fb,3
vr,eom,3
jd,tus,3
bp,um,3
md,pp,3
mp,t,2
ukfc,dl,2
ge,c,2
mlp,wt,2
bbc,cfwm,2
fff,itw,2
cf,ad,2
vp,llcc,2
ufp,cbgb,2
cbs,sc,2
rgh,pp,2
wv,m,2
cp,s,2
kbp,sn,2
mgm,dmabc,2
bep,se,2
eeddy,gdtcoc,2
bep,ktc,2
wmg,lh,2
dp,hbpp,2
hb,fb,2
hkf,eom,2
bbc,tus,2
sa,um,2
