from ,to ,relation
tf,td,1
tf,mt,1
tf,nw,1
tf,wo,1
tf,pda,1
tf,app,1
tf,dvl,1
tf,ftr,1
tf,is,1
tf,deb,1
tf,fc,1
tf,fc,1
tf,mitf,1
tf,dbpp,6
tf,ats,1
tf,auf,1
tf,vvdw,6
tf,mftk,1
tf,auk,1
tf,str,1
tf,sr,1
tf,thef,1
tf,feed,1
tf,oph,1
tf,es,1
tf,ori,1
tf,bfw,1
tf,abgtmh,1
tf,suds,1
tf,totm,1
tf,stc,1
tf,cdm,1
tf,aye,1
tf,burial,1
ltp,td,2
up,mt,2
ee,nw,2
20cf,pda,2
wb,app,2
sfp,dvl,2
ftrp,ftr,2
ld,is,2
dj,deb,2
mom,fc,2
tnt,mitf,2
afc,ats,2
ld,auf,2
wa,vvdw,2
bm,mftk,2
puk,auk,2
ata,str,2
ld,sr,2
berlani,thef,2
indy,feed,2
cm,oph,2
ce,es,2
lbp,ori,2
cbp,bfw,2
netflix,abgtmh,2
lf,suds,2
tomf,totm,2
fae,stc,2
avf,cdm,2
rm,aye,2
sf,burial,2
jk,td,3
nis,mt,3
jg,nw,3
dh,wo,3
rw,pda,3
tl,app,3
criss,dvl,3
pb,ftr,3
chars,is,3
aa,deb,3
nh,fc1,3
ml,fc2,3
jb,mitf,3
tp,dbpp,3
bpf,ats,3
kr,auf,3
ag,vvdw,3
fdw,mftk,3
aa,auk,3
sw,str,3
gc,sr,3
tb,feed,3
cmcc,oph,3
anga,es,3
smce,bfw,3
rt,abgtmh,3
mvhjr,suds,3
tomf,totm,3
sasu,stc,3
cv,cdm,3
jn,aye,3
bp,burial,3
